"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Parcel based classification for agricultural mapping and monitoring using multi-temporal satellite image sequences","N. Kussul; G. Lemoine; J. Gallego; S. Skakun; M. Lavreniuk","Nacional'na akademia nauk Ukraini, Kiiv, UA; European Commission, Institute for Environment and Sustainability, Ispra, Italy; European Commission, Institute for Environment and Sustainability, Ispra, Italy; NASU-SSAU, Soace Research Institute, Kyiv, Ukraine; NASU-SSAU, Soace Research Institute, Kyiv, Ukraine","2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","12 Nov 2015","2015","","","165","168","In this paper, we propose a new approach to pixel and parcel-based classification of multi-temporal optical satellite imagery. We first restore missing data due to clouds and shadows based on vector and raster data fusion in different phases of classification methodology. Pixel-based classification maps are derived from an ensemble of neural networks, in particular multilayer perceptrons (MLPs). The proposed approach is applied for regional scale crop classification using multi-temporal Landsat-8 images for the JECAM site in the Kyivska oblast of Ukraine in 2013. The obtained results on crop area estimates are also compared to official statistics.","2153-7003","978-1-4799-7929-5","10.1109/IGARSS.2015.7325725","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7325725","Classification;parcel-based;remote sensing;neural networks;agriculture;JECAM;Ukraine","Agriculture;Satellites;Earth;Remote sensing;Image restoration;Optical imaging;Accuracy","geophysical image processing;image classification;multilayer perceptrons;neural nets;vegetation mapping","parcel-based classification methodology;multitemporal optical satellite imagery;restore missing data;raster data fusion;vector data fusion;pixel-based classification maps;neural networks;multilayer perceptrons;regional scale crop classification;multitemporal Landsat-8 images;JECAM site;Kyivska oblast;Ukraine;AD 2013;crop area;multitemporal satellite image sequences","","20","","20","IEEE","12 Nov 2015","","","IEEE","IEEE Conferences"
"Large-Scale Precise Mapping of Agricultural Fields in Sentinel-2 Satellite Image Time Series","Y. T. Solano-Correa; D. Carcereri; F. Bovolo; L. Bruzzone","Fondazione Bruno Kessler, Center for Information and Communication Technology, Trento, Italy; Dept. of Information Engineering and Computer Science, University of Trento, Trento, Italy; Fondazione Bruno Kessler, Center for Information and Communication Technology, Trento, Italy; Dept. of Information Engineering and Computer Science, University of Trento, Trento, Italy","IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium","17 Feb 2021","2020","","","2288","2291","This paper presents an approach for large-scale precise mapping of agricultural fields based on the analysis of Satellite Image Time Series (SITS) acquired by ESA Sentinel-2 (S2) satellite constellation. The approach has been developed in the framework of the ESA SEOM - Scientific Exploitation of Operational Missions - S2-4Sci Land and Water project. The goal is to design a flexible and automatic processing chain able to perform mapping in massive data. Here we focus on precision agriculture products generation at country level. In particular, the Country of study is Italy and the application goal is precision agriculture of single crop fields. To achieve this goal, two macro challenges are considered: (i) download and pre-processing of S2 SITS, and (ii) multi-temporal (MT) fine characterization of agricultural fields. Both challenges are addressed in an automatic way by exploiting and/or updating state-of-the-art methodologies. Promising results have been obtained over years 2017 and 2018 for Italy.","2153-7003","978-1-7281-6374-1","10.1109/IGARSS39084.2020.9323150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9323150","Sentinel-2;Satellite Image Time Series;Large-scale mapping;Precision agriculture","Agriculture;Reliability;Time series analysis;Satellites;Training;Task analysis;Shape","agriculture;crops;geophysical image processing;remote sensing;time series","large-scale precise mapping;agricultural fields;ESA Sentinel-2 satellite constellation;ESA SEOM - Scientific Exploitation;Operational Missions - S2-4Sci Land;flexible processing chain;automatic processing chain;precision agriculture products generation;single crop fields;S2 SITS;Sentinel-2 Satellite Image Time Series","","","","9","IEEE","17 Feb 2021","","","IEEE","IEEE Conferences"
"Continuous anomaly detection in satellite image time series based on Z-scores of Season-Trend model Residuals","Z. -G. Zhou; P. Tang","Key Laboratory of Quantitative Remote Sensing Information Technology, Chinese Academy of Sciences, Beijing, China; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, China","2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","3 Nov 2016","2016","","","3410","3413","Natural disasters or human activities, such as forest fire, flood, and deforestation, may lead to anomaly or disturbance of land cover. Continuous detection of anomalies is important for studying spatial-temporal processes of land cover changes. Although many time-series-analysis methods have been developed for change detection, to the best of our knowledge, few methods focus on continuously detecting anomalies in satellite image time series. This study proposes a method for continuous anomaly detection in satellite image time series based on Z-scores of Season-Trend model Residuals (ZSTR). The ability of ZSTR for continuous anomaly detection was validated with an experiment for detecting spatial-temporal anomaly regions caused by severe flooding.","2153-7003","978-1-5090-3332-4","10.1109/IGARSS.2016.7729881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7729881","Multi-temporal;land cover;change detection;disturbance detection;time series analysis","Time series analysis;Satellites;Floods;Remote sensing;Market research;Earth;Monitoring","floods;geophysical techniques;land cover;time series","continuous anomaly detection;satellite image time series anomaly detection;season-trend model residual z-scores;natural disasters;human activities;land cover anomaly;land cover disturbance;spatial-temporal land cover processes;time-series-analysis methods;spatial-temporal flooding anomaly regions","","6","","8","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"Land Cover Changes of Bagua Island with Collaborative Representation using Multi-Temporal Satellite Images","Y. Yu; Z. Wu; H. Su; Q. Du","School of Earth Sciences and Engineering, Hohai University, Nanjing, China; School of Earth Sciences and Engineering, Hohai University, Nanjing, China; School of Earth Sciences and Engineering, Hohai University, Nanjing, China; Department of Electrical and Computer Engineering, Mississippi State University, Starkville, MS, USA","2019 10th International Workshop on the Analysis of Multitemporal Remote Sensing Images (MultiTemp)","14 Oct 2019","2019","","","1","4","Land use and land cover change (LULC) monitoring is an important remote sensing application and research field. This paper aims to research the land use and land cover change of Bagua Island, Nanjing, China from 2015 to 2017 by using GF-1 satellite image data. Specifically, a new classification methodology based on collaborative representation is proposed, in which extended multi-attribute profiles (EMAPs) is used to model spatial context information, and the spatial information are taken as inputs features for the collaborative representation of Tikhonov classifier (EMAPs-CRT). The EMAPs-CRT uses the spatial features during classification process instead of the original spectral bands, which can provide better performance in the experiment. Through the quantitative statistical analysis of classification results from 2015 to 2017, it can be seen that the farmland land in Bagua Island decreased sharply, the building land increased sharply, and the urbanization process accelerated obviously.","","978-1-7281-4615-7","10.1109/Multi-Temp.2019.8866930","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8866930","LULC;remote sensing;collaborative representation;EMAP;multi-temporal satellite images","Buildings;Remote sensing;Cathode ray tubes;Collaboration;Roads;Monitoring;Forestry","feature extraction;geophysical image processing;image classification;land cover;remote sensing;statistical analysis;terrain mapping","collaborative representation;multiattribute profiles;spatial context information;EMAPs-CRT;farmland land;Bagua Island;building land;land cover changes;multitemporal satellite images;remote sensing application;land use;land cover change;GF-1 satellite image data;classification methodology","","1","","9","IEEE","14 Oct 2019","","","IEEE","IEEE Conferences"
"Stmetrics: A Python Package for Satellite Image Time-Series Feature Extraction","A. R. Soares; H. N. Bendini; D. V. Vaz; T. D. T. Uehara; A. K. Neves; S. Lechler; T. S. Körting; L. M. G. Fonseca","General Coordination of Earth Observation - OBT, Brazil's National Institute for Space Research (INPE), São José dos Campos, SP, Brazil; General Coordination of Earth Observation - OBT, Brazil's National Institute for Space Research (INPE), São José dos Campos, SP, Brazil; General Coordination of Earth Observation - OBT, Brazil's National Institute for Space Research (INPE), São José dos Campos, SP, Brazil; General Coordination of Earth Observation - OBT, Brazil's National Institute for Space Research (INPE), São José dos Campos, SP, Brazil; General Coordination of Earth Observation - OBT, Brazil's National Institute for Space Research (INPE), São José dos Campos, SP, Brazil; Institute for Geoinformatics, University of Muenster; General Coordination of Earth Observation - OBT, Brazil's National Institute for Space Research (INPE), São José dos Campos, SP, Brazil; General Coordination of Earth Observation - OBT, Brazil's National Institute for Space Research (INPE), São José dos Campos, SP, Brazil","IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium","17 Feb 2021","2020","","","2061","2064","Producing reliable land use and land cover maps to support the deployment and operation of public policies is a necessity, especially when environmental management and economic development are considered. To increase the accuracy of these maps, satellite image time-series have been used, as they allow the understanding of land cover dynamics through the time. This paper presents the stmetrics, a python package that provides the extraction of state-of-the-art time-series features. These features can be used for remote sensing time-series image classification and analysis. stmetrics aims to be an easy-to-use package. The package is available under the GNU GPL software license, and the full source code is available for download at: github.com/andersonreisoares/stmetrics.","2153-7003","978-1-7281-6374-1","10.1109/IGARSS39084.2020.9323346","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil (CAPES)(grant numbers:001); National Council for Scientific and Technological Development (CNPq); São Paulo Research Foundation (FAPESP)(grant numbers:2017/24086-2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9323346","time-series;python;multi-temporal features;remote sensing","Measurement;Feature extraction;Agriculture;Time series analysis;Terrain factors;Shape;Remote sensing","feature extraction;geophysical image processing;image classification;land cover;remote sensing;terrain mapping","python package;satellite image time-series feature extraction;land cover maps;public policies;environmental management;economic development;land cover dynamics;state-of-the-art time-series features;remote sensing time-series image classification;Stmetrics;GNU GPL software license;easy-to-use package;land use maps","","2","","16","IEEE","17 Feb 2021","","","IEEE","IEEE Conferences"
"Change Analysis in Registered Satellite Image Time Series","T. Dagobert; R. G. Von Gioi; C. Hessel; J. . -M. Morel; C. De Franchis","Université Paris-Saclay, CNRS, ENS Paris-Saclay, Centre Borelli, France; Université Paris-Saclay, CNRS, ENS Paris-Saclay, Centre Borelli, France; Kayrros SAS; Université Paris-Saclay, CNRS, ENS Paris-Saclay, Centre Borelli, France; Kayrros SAS","2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","12 Oct 2021","2021","","","4360","4363","The recent proliferation of constellations of recurrent satellites enables the constitution of temporally dense times series of registered images. We therefore propose in this paper a more in depth detection and analysis of observable changes. This approach is intended to be generic and independent of the type of satellite used, whether band limited or multispectral. It is based on a global analysis of the sequence. The detection stage is based on the definition of a residual sequence calculated from the novelty filter. A statistical approach based on the NFA test is then employed to detect significant changes. We then use these detections to classify the changes according to their nature: unique or lasting. To establish the efficiency of the method, we created an open dataset of 28 sequences of 20 images acquired by Sentinel-2 in different regions of the world. We obtain satisfactory results which are consistent with the visual observations of experts.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9554700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9554700","change detection;multi-temporal;time series;satellite;dataset","Road transportation;Measurement;Visualization;Satellites;Image resolution;Time series analysis;Geoscience and remote sensing","geophysical image processing;geophysical techniques;image registration;remote sensing;time series","change analysis;registered satellite image time series;recurrent satellites;temporally dense times series;depth detection;global analysis;detection stage;residual sequence;statistical approach","","","","13","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Spatio-Temporal Regions' similarity framework for VHR Satellite Image Time Series analysis","S. Réjichi; F. Chaabane","Sup'Com, Carthage University, Tunisia; Sup'Com, Carthage University, Tunisia","2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","3 Nov 2016","2016","","","2845","2848","In remote sensing, temporal sequence of images called Satellite Image Time Series (SITS) covering the same scene allows land cover observation, understanding, analysis and monitoring. Nowadays, STIS are accessible with higher spatial and temporal resolution which hampers their interpretation. This paper presents a spatio-temporal regions' similarity framework using a novel matrix based on Kullback-Leibler (KL) divergence measure. To this end, an explicit definition of a Spatio-Temporal Region (STR) is given in order to build its characteristic matrix called Multi-Temporal Region Matrix (MTRM). Afterwards, using this matrix, a Cross-STR Similarity Matrix (CSTRSM) is computed between STR of in order to reveal regions with similar temporal fingerprint. Experiments are carried out on synthesized and compared to previously presented approaches for STIS analysis.","2153-7003","978-1-5090-3332-4","10.1109/IGARSS.2016.7729735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7729735","STIS analysis;Spatio-Temporal Map;Spatio-Temporal Region;Kullback-Leibler divergence","Satellites;Time series analysis;Image segmentation;Remote sensing;Histograms;Fingerprint recognition;Gaussian distribution","geophysical image processing;geophysical techniques;image sequences;matrix algebra;spatiotemporal phenomena;time series","spatiotemporal region similarity framework;VHR satellite image time series analysis;remote sensing;temporal image sequence;satellite image time series;land cover observation;Kullback-Leibler divergence measure;spatiotemporal region;multitemporal region matrix;cross-STR similarity matrix;characteristic matrix;temporal fingerprint;STIS analysis;CSTRSM;MTRM;KL divergence","","2","","9","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"Retrieval and multi-temporal characterization of oil spills from multi-sensor earth observation imagery","R. Pelich; T. V. La; M. Chini; P. Matgen","Environmental Research and Innovation department, Luxembourg Institute of Science and Technology, Belvaux, Luxembourg; Environmental Research and Innovation department, Luxembourg Institute of Science and Technology, Belvaux, Luxembourg; Environmental Research and Innovation department, Luxembourg Institute of Science and Technology, Belvaux, Luxembourg; Environmental Research and Innovation department, Luxembourg Institute of Science and Technology, Belvaux, Luxembourg","2022 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea)","24 Nov 2022","2022","","","388","392","In this study we propose an image classification method that allows to delineate oil spills from multi-sensor earth observation (EO) data, i.e. Synthetic Aperture Radar (SAR) and multi-spectral imagery. By making use of the SAR intensity and an index derived from multi-spectral data, we perform a multiscale-based bimodal distribution classification, represented in our case by the oil spill and sea clutter, respectively. The proposed method is applied to a sequence of images acquired with a daily frequency allowing to characterise the temporal and spatial of evolution of the oil spill. In addition, we address the surface wind and currents corresponding to each satellite image in order to investigate their impact on the oil spill evolution. The experimental results are focused on two different oil spill events: one in the waters around Mauritius after a Japanese bulk carrier, MV Wakashio, ran aground on a coral reef, and one in the Persian golf which is the largest offshore oil development area.","","978-1-6654-9942-2","10.1109/MetroSea55331.2022.9950927","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9950927","multi-spectral;multi-temporal;oil spill;Synthetic Aperture Radar (SAR)","Earth;Sea surface;Satellites;Radar measurements;Oils;Spaceborne radar;Soft sensors","geophysical image processing;geophysical techniques;image classification;marine pollution;oceanographic techniques;oil pollution;radar imaging;remote sensing;remote sensing by radar;synthetic aperture radar","different oil spill events;image classification method;largest offshore oil development area;multiscale-based bimodal distribution classification;multisensor earth observation data;multisensor earth observation imagery;multispectral data;multispectral imagery;multitemporal characterization;oil spill evolution;Synthetic Aperture Radar","","","","9","IEEE","24 Nov 2022","","","IEEE","IEEE Conferences"
"Land cover changes from 1995 to 2016 in sebubus forest of sambas regency, Indonesia","Muriadi; W. L. Yan","Keio Gijuku Daigaku, Minato-ku, Tokyo, JP; Keio Gijuku Daigaku, Minato-ku, Tokyo, JP","2016 International Electronics Symposium (IES)","23 Feb 2017","2016","","","369","374","It is broadly known that tropical peat forest plays important role for local and regional social and environmental wellbeing. Nonetheless the existence is under serious threat due to unsustainable human activities that often exacerbated by extreme weather events. Monitoring and understanding health of tropical peat forest can help to determine correct measures to tackle any adverse impacts resulted from degraded tropical peat forest as well as mitigate and prevent continuing degradation of the ecosystems itself. This research applies remote sensing and Geographical Information System for investigating historical land cover changes in Sebubus Forest through analysis of Landsat images during period 1995 until 2016. The purpose is to understand how land cover of the “Productive Forest”, as it is classified by Indonesian Regulations on forestry, has been changing over time and the times when its dramatic transformation were happened. A matrix derived from multitemporal satellite image analysis is presented to understand land cover transitions and intensity. This investigation found that the forest were trees' covered until 2005 when some dramatic land cover changes began. Even though protected by regulation, Sebubus Forest area is not safe from adverse impact of human activities. By 2016 it is likely only less then 12% of the total peat land area remains covered by forest.","","978-1-5090-1640-2","10.1109/ELECSYM.2016.7861033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7861033","Multi-temporal Analysis;Tropical Peat Forest;Deforestation;Satellite Image Data","Satellites;Remote sensing;Earth;Soil;Vegetation;Fires;Forestry","forestry;geographic information systems;land cover;vegetation mapping","historical land cover;Sebubus Forest;Sambas Regency;tropical peat forest monitoring;ecosystems degradation;remote sensing;geographical information system;Landsat images;Indonesian Regulations;multitemporal satellite image analysis","","","","12","IEEE","23 Feb 2017","","","IEEE","IEEE Conferences"
"Multi-temporal remote sensing image registration based on siamese network","J. Liu; Y. Li; Y. Chen","College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China","2021 International Conference on Computer Engineering and Application (ICCEA)","28 Oct 2021","2021","","","333","337","Multi-temporal remote sensing image registration aims to find the optimal alignment between images acquired from different times. The complexity and disparity of features in remote sensing images bring great difficulties to image registration. We propose a deep learning method based on the Siamese network to address this problem. Unlike traditional methods doing feature extraction and feature matching separately. We pair patches from sensed and reference images, and directly learn the mapping relationship between those image patch pairs and their matching labels. This end-to-end network architecture helps us optimize the entire network, which is what traditional methods lack. Besides, we use the spatial scale convolution layer in the feature extraction network to improve scale variations’ adaptability. Extensive experiments are conducted on a multi-temporal satellite image dataset from google earth. The results of the experiment indicate that our method can obtain more correct matched points and effectively improve the registration accuracy than traditional image registration methods.","","978-1-6654-2616-9","10.1109/ICCEA53728.2021.00072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9581067","deep learning;image registration;siamese network;remote sensing image","Image registration;Satellites;Convolution;Feature detection;Network architecture;Feature extraction;Complexity theory","feature extraction;geophysical image processing;image matching;image registration;image representation;learning (artificial intelligence);remote sensing","siamese network;sensed reference images;image patch pairs;end-to-end network architecture;feature extraction network;multitemporal satellite image dataset;traditional image registration methods;multitemporal remote sensing image registration;remote sensing images;deep learning method","","","","27","IEEE","28 Oct 2021","","","IEEE","IEEE Conferences"
