"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluation of BRDF Information from Himawari-8 AHI Time-Series Multi-Angle Observations","X. Zhang; Z. Jiao; C. Zhao; S. Li; Z. Zhu; Y. Tong; J. Guo; R. Xie; S. Yin; L. Cui; Y. Dong; H. Zhang","College of Water Sciences, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; College of Water Sciences, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; Faculty of Geographical Science, Beijing Engineering Research Center for Global Land Remote Sensing Products, Institute of Remote Sensing Science and Engineering, Beijing Normal University, Beijing, China; School of Geographic and Environmental Sciences, Tianjin Normal University, Tianjin, China","2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","12 Oct 2021","2021","","","4492","4495","The surface anisotropy, usually described as bidirectional reflectance distribution function (BRDF), plays a key role in the quantitative remote sensing. Numerous BRDF studies are focus on sensors onboard polar-orbiting satellites such as POLDER and MODIS based on multi-angle sensors or accumulative observations through multiple days. Notably, sensors onboard geostationary satellites can also obtain multi-angle reflectances benefited from their high revisit frequencies, while by which only a few BRDF studies have been completed. In this study, we aim to evaluate the BRDF information collected from time-series directional observations of the Advanced Himawari Imager (AHI) onboard geostationary satellite Himawari-8. The multi-angle reflectances of 6 × 7 km POLDER and 0.05° AHI at mixed forest area during a whole month were collected. Generally, AHI has a good weight of Determination (WoD) of 0.03, as well as small fit-RMSEs of 0.0055 and 0.0235 in the red and NIR bands based on the kernel-driven Ross-Li BRDF model, which shows promising potential to provide BRDF information with a good quality.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9553875","National Natural Science Foundation of China(grant numbers:42090013,41801237); National Key Research and Development Program of China(grant numbers:2016YFB0501404,2018YFA0605503); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553875","Himawari-8 AHI;time-series multi-angle reflectances;BRDF sampling;the kernel-driven model;WoD","Analytical models;Parameter estimation;Forestry;Bidirectional control;Data models;Sensors;Remote sensing","forestry;radiometry;remote sensing","mixed forest area;POLDER;kernel-driven Ross-Li BRDF model;Advanced Himawari Imager onboard geostationary satellite Himawari-8;time-series directional observations;multiangle reflectances;multiangle sensors;polar-orbiting satellites;numerous BRDF studies;bidirectional reflectance distribution function;Himawari-8 AHI time-series multiangle observations;BRDF information;size 7.0 km","","","","17","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"A genetic-optimized multi-angle normalized cross correlation SIFT for automatic remote sensing registration","Y. Li; Q. Liu; L. Jing; S. Liu; F. Miao","Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, Beijing, CN; STATE Grid AC Eng. Constr. Co., China","2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","3 Nov 2016","2016","","","2586","2589","A new method of remote sensing image registration is proposed to reduce the adverse effects on the image registration caused by the rotation transform, based on genetic-optimized multi-angle normalized cross correlation (GMNCC) to get more matched scale invariant feature transform (SIFT) feature points. The GMNCC can detect the angle-offsets (AOs) of object images to reference image by determining the maximum of correlation coefficients between the two images with genetic algorithm, and complete the rotation offset correction. Then SIFT is used to extract the feature points and feature matching, which is subsequently refined by RANSAC to eliminate the false matched control points. Two Woldview-2 (WV2) images of Beijing Olympic Forest Park were used for testing the GMNCC-SIFT registration. GMNCC detects more accurate rotation angle-offsets than multi-angle normalized cross correlation (MANCC), reduces the detection process from 3000s to 2500s, and gives more matched points than simple SIFT to improve registration accuracy.","2153-7003","978-1-5090-3332-4","10.1109/IGARSS.2016.7729668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7729668","Remote sensing image registration;genetic algorithm optimized normalized cross correlation;SIFT;RANSAC","Remote sensing;Image registration;Correlation;Genetic algorithms;Feature extraction;Sociology","feature extraction;forestry;genetic algorithms;geophysical image processing;image matching;image registration;remote sensing","genetic-optimized multiangle normalized cross correlation;remote sensing image registration;scale invariant feature transform;object images;genetic algorithm;feature extraction;feature matching;RANSAC;Woldview-2;WV2 images;Beijing olympic forest park;China;GMNCC-SIFT registration","","5","","7","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"The Relationship of Sampling Distribution and BRDF in Different Wavelength for Snow Surface","J. Guo; Z. Jiao; X. Zhang; L. Cui; S. Yin; R. Xie; S. Li; Z. Zhu; Y. Tong","State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, College of Remote Sensing and Engineering, Beijing Normal University, Beijing, China","2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","12 Oct 2021","2021","","","5596","5598","Bidirectional Reflectance Distribution Function (BRDF) is an important component in quantitative remote sensing. In this study, we explored the relationship of sampling distribution and reconstructed BRDF curve for snow surface. In order to get enough observations, we utilize the field-measured data to analyze the different BRDF under different sampling pattern. This work can be very meaningful because it is hard to acquire sufficient measurements in all directions especially for snow in the real life.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9553183","National Key Research and Development Program of China(grant numbers:2018YFA0605503); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553183","snow;sampling distribution;multi-angle data;RTLSRS;BRDF","Surface reconstruction;Surface waves;Snow;Wavelength measurement;Bidirectional control;Remote sensing;Distribution functions","image reconstruction;reflectivity;remote sensing;snow;spectral analysis","sampling distribution;different wavelength;snow surface;Bidirectional Reflectance Distribution Function;quantitative remote sensing;BRDF curve;field-measured data;different BRDF;different sampling pattern","","","","7","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"An Error-Based Block Adjustment Method for Multi-Angle Satellite Imagery Without Ground Control Points","N. Jiao; F. wang; H. You; K. Hu; M. Yang","Key Laboratory of Technology in Geo-Spatial Information Processing and Application Systems, Institute of Electronics, Beijing, China; Key Laboratory of Technology in Geo-Spatial Information Processing and Application Systems, Institute of Electronics, Beijing, China; Key Laboratory of Technology in Geo-Spatial Information Processing and Application Systems, Institute of Electronics, Beijing, China; Key Laboratory of Technology in Geo-Spatial Information Processing and Application Systems, Institute of Electronics, Beijing, China; Key Laboratory of Technology in Geo-Spatial Information Processing and Application Systems, Institute of Electronics, Beijing, China","IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium","14 Nov 2019","2019","","","9040","9043","Geo-positioning accuracy improvement is one of the most important step of remote sensing image preprocessing. Traditional methods require a large number of ground control points(GCPs) which consuming lots of manpower and financial resources. With the resolution up to 0.8m, the original geo-positioning accuracy of the Chinese Gaofen(GF-2) multi-angle imagery is about 90m which means a limited application in geometric processing. In this paper, we propose a new method to improve the geometric performance of the multi-angle satellite imagery based on the geometric error sources of this experimental dataset without GCPs. Under the condition of weak intersection of our test dataset, we use a DEM-assisted approach to acquire a more accurate initial position accuracy of all tie points, and all extracted data is clustered by the Density based spatial clustering of applications with noise(DBSCAN) algorithm in order to eliminate points or impages with large positioning error automatically. Then, the error-based block adjustment model are proposed and investigated to improved the geometric performance of the experimental dataset. Based on our proposed method, 142 multi-angle GF-2 satellite images covering the western Beijing area are experimented and the root mean square error(RMSE) of the geometric accuracy is improved up to about 12m in plane and 6m in height, which shows a significantly improvement in geo-positioning accuracy of these multi-angle GF-2 remote sensing imagery.","2153-7003","978-1-5386-9154-0","10.1109/IGARSS.2019.8899036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8899036","geometric performance;error-based block adjustment;RFM;multi-angle;DBSCAN","Satellites;Image resolution;Mathematical model;Unified modeling language;Remote sensing;Clustering algorithms;Cameras","geophysical techniques;remote sensing","Beijing area;density based spatial clustering of applications with noise algorithm;DEM-assisted approach;multiangle GF-2 satellite images;Chinese Gaofen;multiangle GF-2 remote sensing imagery;geometric accuracy;error-based block adjustment model;positioning error;tie points;accurate initial position accuracy;experimental dataset;geometric error sources;geometric performance;geometric processing;multiangle imagery;original geo-positioning accuracy;financial resources;manpower;GCPs;remote sensing image preprocessing;geo-positioning accuracy improvement;ground control points;multiangle satellite imagery;error-based block adjustment method;size 90.0 m;size 12.0 m;size 6.0 m;size 0.8 m","","1","","9","IEEE","14 Nov 2019","","","IEEE","IEEE Conferences"
"A Novel Building Detection Method Using zy-3 Multi-Angle Imagery Over Urban Areas","H. Chen; X. Huang; J. Li; J. Gong; C. Liu","School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P. R. China; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P. R. China; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P. R. China; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, P. R. China; Mapping and Remote Sensing, Wuhan University, Wuhan, P. R. China","IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium","4 Nov 2018","2018","","","1272","1275","This paper presents a new building indicator based on the multi-angle images, the angular difference feature (ADF), which characterizes angular properties from high-resolution ZY-3 multi-view images. The method for detecting buildings based on ADF consists of two main steps: ADF feature extraction and a post-processing step to refine the results by simultaneously incorporating the spectral and geometrical information. Experiments are conducted with three ZY-3 images acquired over Chinese cities. The proposed ADF achieves promising building detection performance over both highly dense urban areas and suburban areas, with an overall accuracy of better than 89% for all the three data sets.","2153-7003","978-1-5386-7150-4","10.1109/IGARSS.2018.8518232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8518232","multi-angle;building detection;high spatial resolution;ZY-3","Buildings;Feature extraction;Urban areas;Indexes;Shape;Satellites;Roads","feature extraction;geophysical image processing;image sensors;object detection;remote sensing","building detection method;ZY-3 multiangle imagery;building indicator;multiangle images;angular difference feature;ADF;angular properties;high-resolution ZY-3 multiview images;detecting buildings;post-processing step;spectral information;geometrical information;ZY-3 images;building detection performance;highly dense urban areas;suburban areas","","1","","7","IEEE","4 Nov 2018","","","IEEE","IEEE Conferences"
"A method for kernel-driven model to correct the blended hemispherical diffuse irradiance in multi-angle measurements","Y. Dong; Z. Jiao; D. He; Y. Li; X. Zhang","State Key Laboratory of Remote Sensing Science, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Beijing Normal University, Beijing, China; State Key Laboratory of Remote Sensing Science, Beijing Normal University, Beijing, China","2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","3 Nov 2016","2016","","","3504","3507","Semi-empirical kernel-driven Bidirectional Reflectance Distribution Function (BRDF) model has been developed to retrieve the BRDF shapes of the observed surface from multi-angle measurements. At present, hemispherical diffuse irradiance is usually blended in the multi-angle measurements. The blend of diffuse irradiance will smooth the intrinsic BRDF shapes of observed surface. Therefore, there is a need to correct the diffuse irradiance to get the ideal BRDF shapes when the multi-angle measurements is processed by the kernel-driven model. In this article, we develop a method for kernel-driven model to correct the blended hemispherical diffuse irradiance in the multi-angle measurements. Multi-angle data simulated by the PROSAIL model are used to validate the efficiency of the method. The result indicates that the simulated reflectance after correction agree well with the measurements without diffuse irradiance.","2153-7003","978-1-5090-3332-4","10.1109/IGARSS.2016.7729906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7729906","kernel-driven model;BRDF;hemispherical diffuse irradiance;PROSAIL","Reflectivity;Mathematical model;Data models;Atmospheric modeling;Shape;Remote sensing;Atmospheric measurements","remote sensing","hemispherical diffuse irradiance;multiangle measurement;kernel-driven bidirectional reflectance distribution function model;BRDF shape;multiangle data;PROSAIL model","","1","","6","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"Evaluation of Four Kernel Driven Models in the Thermal Infrared Band Using Airborne Measured Multi-Angle Datasets","B. Cao; Z. Bian; Y. Du; H. Li; Q. Xiao; Q. Liu","Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing","IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium","14 Nov 2019","2019","","","6660","6663","There are four widely-used kernel driven models in the thermal infrared domain, including LSF-Li, RL, Ross-Li and Vinnikov. They have great potentials to achieve the angular effect correction for land surface temperature products. RL and Ross-Li are direct extensions of kernel models in the visible and near infrared region and other two models were directly designed for the thermal infrared region. Their fitting abilities should be evaluated comprehensively at first. Some evaluation works have been reported based on simulated datasets or measured dataset with limited view angles. In this paper, two measured multi-angle datasets with over 104 directions were selected to do evaluation. Both of them were extracted from the airborne measurement using spatial-temporal average method. We found that LSF-Li is always the best one, followed by Ross-Li, RL and Vinnikov.","2153-7003","978-1-5386-9154-0","10.1109/IGARSS.2019.8898385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8898385","DBT;kernel driven model;Hot spot","Remote sensing;Land surface;Atmospheric modeling;Kernel;Land surface temperature;Ocean temperature;Temperature measurement","atmospheric techniques;land surface temperature;remote sensing","kernel driven models;thermal infrared band;airborne measured multiangle datasets;thermal infrared domain;angular effect correction;land surface temperature products;kernel models;visible region;near infrared region;thermal infrared region;airborne measurement","","","","17","IEEE","14 Nov 2019","","","IEEE","IEEE Conferences"
"Location accuracy analysis of multi-angle SAR based on radargrammetry method","Z. Wang; R. Zhang; Q. Zhang; C. He; C. Zhou; Z. Lu; H. Kuang","Institute of remote sensing satellite, Beijing, China; Institute of remote sensing satellite, Beijing, China; Institute of remote sensing satellite, Beijing, China; Institute of remote sensing satellite, Beijing, China; National Laboratory of Radar Signals Processing, Xi'an, China; Institute of remote sensing satellite, Beijing, China; Institute of remote sensing satellite, Beijing, China","IET International Radar Conference (IET IRC 2020)","22 Sep 2021","2020","2020","","1028","1032","The spaceborne multi-angle SAR can perform multi-azimuth observation of the same scene with different obliquity orbits, and the target can be located by the multi-angle SAR images with the radargrammetry method. The positioning accuracy of target is affected by the system error and coregistration error. In this paper, the target location accuracy of multi-angle SAR is quantitatively analyzed. The stereo radargrammetry location accuracy of single orbit and multi-orbit images with different azimuth angles is analysed with simulated experimental data.","","","10.1049/icp.2021.0689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9545715","","","radar imaging;remote sensing by radar;synthetic aperture radar","location accuracy analysis;radargrammetry method;spaceborne multiangle SAR;multiazimuth observation;different obliquity orbits;multiangle SAR images;positioning accuracy;system error;coregistration error;target location accuracy;stereo radargrammetry location accuracy;multiorbit images;different azimuth angles","","","","","","22 Sep 2021","","","IET","IET Conferences"
"Evaluation the Spatial-Temporal Average Method in the Multi-Angle Information Extraction Based on Near Surface Observation Sensors","B. Cao; Z. Bian; Q. Xiao; J. Fang; H. Huang; J. Bai; W. Fan; Y. Du; H. Li; Q. Liu","Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Beijing Forestry University, Beijing, China; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of RS and GIS, Peking University, Beijing, China; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing","IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium","4 Nov 2018","2018","","","9222","9225","Multi-angle information extraction is very important for the validation of land surface models, such as bi-directional reflectance distribution function (BRDF) model and directional brightness temperature (DBT) model. The experiment can be done in the near surface, on the plane, and on the satellite. The spatial-temporal average method is widely-used on the scale of plane. In this paper, we try to extend it to extract the multi-angle information from near surface observation sensors. We found this method can obtain good result over homogeneous land surface, but the observation protocol is critical over heterogeneous land surface. For instance, the observation plane should be perpendicular to the row direction. In addition, we found that the hot spot area will be shaded by the observation platform which leads to the BRDF result to be affected seriously.","2153-7003","978-1-5386-7150-4","10.1109/IGARSS.2018.8517645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8517645","Experiment;Sensor;BRDF;DBT;Spatial-temporal average method;Hot spot","Land surface;Cranes;Poles and towers;Sensors;Remote sensing;Data mining;Protocols","geophysical techniques","spatial-temporal average method;multiangle information extraction;near surface observation sensors;land surface models;homogeneous land surface;observation protocol;heterogeneous land surface;observation plane;observation platform;bi-directional reflectance distribution function model;directional brightness temperature model","","1","","4","IEEE","4 Nov 2018","","","IEEE","IEEE Conferences"
"Robust superresolution of multiangle-multispectral remote sensing images based on rank minimization","H. Chen; H. Zhang; L. Zhang","The State Key Laboratory of Information Engineering in Surveying, Mapping, and Remote Sensing, Wuhan University, P.R. China; The State Key Laboratory of Information Engineering in Surveying, Mapping, and Remote Sensing, Wuhan University, P.R. China; The State Key Laboratory of Information Engineering in Surveying, Mapping, and Remote Sensing, Wuhan University, P.R. China","2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","3 Nov 2016","2016","","","7264","7267","In this paper, a unified superresolution framework, which simultaneously integrates image reconstruction and image registration, is proposed for multiangle-multispectral remote sensing images. With the strong correlation of different angle images, the low-rank structure of multiangle image is explored by lexicographically ordering the 3-D data cube into a 2-D matrix. Based on this property, the observed images is decomposed to a background image and a foreground image. Considering the high relationship between each band of the multispectral image, a multichannel total variation (MTV) constraint was applied on the target high resolution background image. Therefore, a robust superresolution model of multiangle-multispectral remote sensing image based on rank minimization (RSRRM) is proposed to register the low resolution multi-angle images and reconstruct high-resolution image. This method can achieve image registration and superresolution at the same time. Several experiments are conducted to illustrate the performance of the method.","2153-7003","978-1-5090-3332-4","10.1109/IGARSS.2016.7730894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7730894","multiangle;multispectral;registration;superresolution;low-rank;multichannel total variation","Spatial resolution;Image reconstruction;Mathematical model;Remote sensing;Minimization;Image registration","geophysical techniques;image reconstruction;image registration;remote sensing","multiangle-multispectral remote sensing image superresolution;rank minimization;unified superresolution framework;image reconstruction;image registration;angle image correlation;low-rank multiangle image structure;lexicographic 3-D data cube;2-D matrix;background image decomposition;foreground image;multispectral image band;multichannel total variation;high resolution background image;low resolution multiangle image register;high-resolution image reconstruction","","1","","7","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
