"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Super resolution of synthetic aperture radar data by convex optimization","F. Biondi","Department of Electrical Engineering, Stanford University, Stanford, CA","2016 4th International Workshop on Compressed Sensing Theory and its Applications to Radar, Sonar and Remote Sensing (CoSeRa)","17 Nov 2016","2016","","","28","32","The problem of chirped Synthetic Aperture Radar (SAR) is the high vulnerability of the received information, under Electromagnetic (EM) Corruption. This paper proposes a valid recovery solution of SAR Single Look Complex (SLC)1 images observed with low band signals. The recovery of high resolution images is made by Super-Resolution (SR) Signal Processing (SP), based on Spectrum Extrapolation (SE), implemented by Convex Programming (CP).","","978-1-5090-2920-4","10.1109/CoSeRa.2016.7745693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7745693","Synthetic Aperture Radar (SAR);Jamming;Super-Resolution (SR);Spectrum Extrapolation (SE);Compressed Sensing (CS)","Synthetic aperture radar;Image resolution;Signal resolution;Jamming;Radar imaging;Chirp","convex programming;extrapolation;image resolution;radar imaging;synthetic aperture radar","chirped synthetic aperture radar;electromagnetic corruption;SAR single look complex images;SAR SLC images;high resolution images recovery;super-resolution signal processing;spectrum extrapolation;convex programming","","3","","9","IEEE","17 Nov 2016","","","IEEE","IEEE Conferences"
"A review of super-resolution inverse synthetic aperture radar imaging algorithms","X. Zhu; W. Hu; B. Guo","Department of Electronic and Optical Engineering, Ordnance Engineering College, Shijiazhuang, Hebei Province, China; Department of Electronic and Optical Engineering, Ordnance Engineering College, Shijiazhuang, Hebei Province, China; Department of Information Engineering, Ordnance Engineering College, Shijiazhuang, Hebei Province, China","2017 7th IEEE International Conference on Electronics Information and Emergency Communication (ICEIEC)","23 Oct 2017","2017","","","107","110","Inverse Synthetic Aperture Radar (ISAR) can obtain images of targets with high resolution under the condition of all-time, all-weather and long-distance, thus ISAR is of great value in both military and civil application areas. In order to improve the resolution of the images, super-resolution imaging algorithms have broken through the Rayleigh limit and have been widely employed in ISAR imaging. Firstly, this paper summarizes the development and present status of super-resolution imaging algorithms systematically. Secondly, five types of widely used super-resolution ISAR imaging algorithms are briefly introduced: extrapolation methods, nonlinear filtering methods, spectrum estimation methods, matrix pencil methods and sparse imaging methods. Finally, the potential problems and future works of super-resolution ISAR imaging algorithms are discussed.","2377-844X","978-1-5090-3025-5","10.1109/ICEIEC.2017.8076522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8076522","inverse synthetic aperture radar;super-resolution imaging algorithms;spectrum estimation;sparse imaging","Imaging;Radar imaging;Signal resolution;Estimation;Signal processing algorithms;Spatial resolution","extrapolation;image filtering;image resolution;matrix algebra;nonlinear filters;radar imaging;radar resolution;synthetic aperture radar","super-resolution ISAR imaging algorithms;sparse imaging methods;super-resolution inverse synthetic aperture radar imaging algorithm;Rayleigh limit;extrapolation methods;nonlinear filtering methods;spectrum estimation methods;matrix pencil methods","","1","","29","IEEE","23 Oct 2017","","","IEEE","IEEE Conferences"
"Azimuth Super-resolution Imaging using Photonics-based Inverse Synthetic Aperture Radar","X. Zhu; F. Zhang; J. Kong; S. Pan; Y. Zhou; G. Sun","College of electronic and information engineering, Nanjing university of aeronautics and astronautics, Nanjing, China; College of electronic and information engineering, Nanjing university of aeronautics and astronautics, Nanjing, China; College of electronic and information engineering, Nanjing university of aeronautics and astronautics, Nanjing, China; College of electronic and information engineering, Nanjing university of aeronautics and astronautics, Nanjing, China; College of electronic and information engineering, Nanjing university of aeronautics and astronautics, Nanjing, China; College of electronic and information engineering, Nanjing university of aeronautics and astronautics, Nanjing, China","2022 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)","23 Dec 2022","2022","","","1","4","Photonics-based inverse synthetic aperture radars can enable wide operation bandwidth and high range resolution. To improve the azimuth resolution, a large coherent accumulation angle or a sufficient observation time duration is required, which is difficult to achieve in practical applications. To overcome the sparse aperture problem of a photonics-based ISAR, azimuth super-resolution imaging is demonstrated in this paper, in which the sparse representation method is applied to implement sparse azimuth data extrapolation or fusion. In the experiment, the photonics-based radar has a bandwidth of 8 GHz, and ISAR echoes from a full observation aperture are selected to imitate the short-aperture detection and sparse aperture detection, respectively. Performance of the sparse-representation-based azimuth super resolution imaging method is investigated. Experimental results show that the azimuth resolution of a photonics-based ISAR can be greatly improved to get well focused images in which small targets can be well distinguished.","","978-1-6654-6972-2","10.1109/ICSPCC55723.2022.9984621","Research and Development; National Natural Science Foundation of China; Natural Science Foundation of Jiangsu Province; Nanjing University of Aeronautics and Astronautics; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9984621","inverse synthetic aperture radar;imaging;microwave photonics;sparse representation;azimuth super-resolution","Azimuth;Superresolution;Imaging;Radar detection;Bandwidth;Radar imaging;Apertures","image resolution;radar imaging;radar resolution;synthetic aperture radar","azimuth resolution;azimuth super-resolution imaging;coherent accumulation angle;frequency 8.0 GHz;full observation aperture;high range resolution;photonics-based ISAR;photonics-based radar;short-aperture detection;sparse aperture detection;sparse aperture problem;sparse azimuth data extrapolation;sparse representation method;sparse-representation-based azimuth super resolution imaging method;sufficient observation time duration;super resolution imaging method;synthetic aperture radar;wide operation bandwidth","","","","11","IEEE","23 Dec 2022","","","IEEE","IEEE Conferences"
"Automatic Target Recognition for Low-Resolution SAR Images Based on Super-Resolution Network","S. Yang; X. Shi; F. Zhou","Ministry of Education, Key Laboratory of Electronic Information Countermeasure and Simulation Technology, Xidian University, Xi'an, China; Ministry of Education, Key Laboratory of Electronic Information Countermeasure and Simulation Technology, Xidian University, Xi'an, China; Ministry of Education, Key Laboratory of Electronic Information Countermeasure and Simulation Technology, Xidian University, Xi'an, China","2019 6th Asia-Pacific Conference on Synthetic Aperture Radar (APSAR)","30 Mar 2020","2019","","","1","6","Synthetic aperture radar (SAR) automatic target recognition (ATR) is one of the hottest issue in current research because of its wide application value. However, the low-resolution SAR images will decline the recognition accuracy of targets due to its obscure characteristic, and meanwhile it is difficult to acquire a great number of high-resolution SAR images for extracting clear characteristic. To solve these problems, this paper proposes a method of ATR for low-resolution SAR images based on super-resolution network. Super-resolution generative adversarial network (SRGAN) and deep convolutional neural network (DCNN) are utilized for extracting characteristic and classification, respectively. The segmented low-resolution SAR images are enhanced through SRGAN to improve the visual resolution and the feature characterization ability of target in SAR image; Then the enhanced SAR images are classified automatically by DCNN. Finally, the effectiveness and the efficiency are verified on the open data set, moving and stationary target acquisition and recognition (MSTAR).","2474-2333","978-1-7281-2912-9","10.1109/APSAR46974.2019.9048251","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9048251","synthetic aperture radar (SAR);automatic target recognition (ATR);super-resolution generative adversarial network (SRGAN);deep convolutional neural network (DCNN)","","convolutional neural nets;image enhancement;image resolution;image segmentation;radar imaging;radar target recognition;synthetic aperture radar","synthetic aperture radar;high-resolution SAR images;super-resolution generative adversarial network;enhanced SAR images;automatic target recognition;SRGAN;deep convolutional neural network;DCNN;segmented low-resolution SAR images;feature characterization;open data set;moving-stationary target acquisition-recognition","","","","8","IEEE","30 Mar 2020","","","IEEE","IEEE Conferences"
"SAR image super-resolution based on TV-regularization using gradient profile prior","L. Liu; W. Huang; C. Wang; X. Zhang; B. Liu","China Academy of Space Technology, Qian Xuesen Laboratory of Space Technology, Beijing, China; School of Mathematics, Hefei University of Technology, Heifei, China; China Academy of Space Technology, Qian Xuesen Laboratory of Space Technology, Beijing, China; China Academy of Space Technology, Qian Xuesen Laboratory of Space Technology, Beijing, China; China Academy of Space Technology, Qian Xuesen Laboratory of Space Technology, Beijing, China","2016 CIE International Conference on Radar (RADAR)","5 Oct 2017","2016","","","1","4","We propose an total variation (TV) regularization approach for the reconstruction of super-resolution synthetic aperture radar (SAR) image based on gradient profile prior. Then we design a super-resolution reconstruction algorithm via split Bregman iteration with the known degradation matrix. The evaluation index is tested on SAR images for objective assessment of the performance of SAR image super-resolution reconstruction. Experimental results show that the proposed split Bregamn super-resolution approach has good effect of noise suppression, while able to effectively maintain the SAR image content. Besides, the experimental results on real SAR scenes demonstrate its superiority to other super-resolution algorithms.","","978-1-5090-4828-1","10.1109/RADAR.2016.8059210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8059210","Synthetic aperture radar (SAR);super-resolution;TV regularization;gradient profile prior;split Bregman iteration","Image resolution;Signal resolution;Synthetic aperture radar;Image reconstruction;Signal processing algorithms;TV;Interpolation","gradient methods;image denoising;image reconstruction;image resolution;iterative methods;radar imaging;radar resolution;synthetic aperture radar","degradation matrix;gradient profile prior;noise suppression;SAR image content;SAR image super-resolution reconstruction;split Bregman iteration;super-resolution reconstruction algorithm;super-resolution synthetic aperture radar image;total variation regularization approach;TV-regularization","","4","","12","IEEE","5 Oct 2017","","","IEEE","IEEE Conferences"
"Unsupervised Deep Learning Parameter Estimation for High Fidelity Synthetic Aperture Radar Super Resolution","M. Tay","DSO National Laboratories, Singapore","2022 23rd International Radar Symposium (IRS)","4 Oct 2022","2022","","","241","246","Super-Resolution for Synthetic Aperture Radar (SAR) has been of high interest for its applications in reducing system Size Weight and Power (SWAP) and potential to improve SAR interpretability. Yet to enable super-resolution techniques like Super Spatially Variant Apodization (SSVA), precise knowledge of the Synthetic Aperture Radar (SAR) imaging parameters is required. Such parameters include the pixel, ground range and azimuth resolution which may be missing or tedious to parse. Moreover, these parameters are dependent on terrain relief and the effective target beam-width which may be absent in practical scenarios involving real targets. The inability to calculate sampling parameters would degrade side-lobe levels and image quality in super-resolution processing. To tackle this, we design a novel deep learning network that leverages a bi-linear sampling layer and a total variation loss that is able to directly estimate the required sampling factor without supervision. Our network is able to learn and carry out optimal side-lobe cancellation with no prior knowledge of the system or target imaging parameters. In doing so, we make it possible to carry out super-resolution on SAR images with no a-prior expert knowledge and outperform traditional algorithms in presence of imperfect expert knowledge. We validate our approach on both simulated data and a dataset (GOTCHA) collected by Airforce Research Laboratory (AFRL).","2155-5753","978-83-956020-5-4","10.23919/IRS54158.2022.9905004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905004","Unsupervised Deep Learning;Super-resolution;Signal Processing;Sidelobe cancellation","Deep learning;Knowledge engineering;Image quality;Parameter estimation;Superresolution;Imaging;Radar imaging","image resolution;learning (artificial intelligence);parameter estimation;radar imaging;radar resolution;synthetic aperture radar","unsupervised deep learning parameter estimation;high fidelity Synthetic Aperture Radar Super Resolution;SAR interpretability;super-resolution techniques;Synthetic Aperture Radar imaging parameters;ground range;azimuth resolution;effective target beam-width;sampling parameters;image quality;super-resolution processing;bi-linear sampling layer;required sampling factor;target imaging parameters;SAR images","","","","18","","4 Oct 2022","","","IEEE","IEEE Conferences"
"Enhanced Azimuth Resolution in Synthetic Aperture Radar Using the MUSIC Algorithm","A. Oveis; M. Martorella; M. A. Sebt; A. Noroozi","RaSS-CNIT, Pisa, Italy; RaSS-CNIT, Pisa, Italy; Department of Electrical Engineering, K. N. Toosi University of Technology, Tehran, Iran; Department of Electrical Engineering, K. N. Toosi University of Technology, Tehran, Iran","2020 17th European Radar Conference (EuRAD)","3 Feb 2021","2021","","","140","143","This paper addresses a considerable improvement of azimuth resolution in the stripmap mode of synthetic aperture radar (SAR) using the multiple-signal classification (MUSIC) algorithm. At first, the range compression and range migration correction are performed. Azimuth chirp signals of stationary targets will be resolved by conventional azimuth compression operation if the signals have slow-time separation larger than the reciprocal of their frequency bandwidth. Otherwise, they will be merged together and appear as a single stationary target in the SAR imaging. The scenario of close targets is modelled as a multipath problem and the corresponding time-delays are estimated using the super-resolution MUSIC algorithm. Therefore, stationary targets with close centers, which were merged by conventional azimuth compression operation, will be resolved and the azimuth resolution is considerably improved. Numerical results are presented to validate the theoretical discussions.","","978-2-87487-061-3","10.1109/EuRAD48048.2021.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9337418","Azimuth resolution;synthetic aperture radar;MUSIC;Sub-space based methods","Azimuth;Energy resolution;Superresolution;Radar polarimetry;Multiple signal classification;Synthetic aperture radar;Signal resolution","image resolution;radar imaging;radar resolution;signal classification;synthetic aperture radar","synthetic aperture radar;multiple-signal classification algorithm;range compression;range migration correction;azimuth chirp signals;stationary targets;conventional azimuth compression operation;slow-time separation;single stationary target;SAR imaging;time-delays;super-resolution MUSIC algorithm;enhanced azimuth resolution;stripmap mode","","1","","13","","3 Feb 2021","","","IEEE","IEEE Conferences"
"Super-Resolution of Synthetic Aperture Radar Complex Data by Deep-Learning","P. Addabbo; M. L. Bernardi; F. Biondi; M. Cimitile; C. Clemente; N. Fiscante; G. Giunta; D. Orlando","Departimento di Ingegneria, Università degli studi del Sannio, Benevento, Italy; Departimento di Ingegneria, Università degli studi del Sannio, Benevento, Italy; Dipartimento di Ingegneria, Università degli studi dell’Aquila, L’Aquila, Italy; Department of Law and Economics, Univeristà Unitelma Sapienza, Roma, Italy; Department of Electronic and Electrical Engineering, University of Strathclyde, Glasgow, UK; Dipartimento di Ingegneria, Università degli studi Roma TRE, Rome, Italy; Dipartimento di Ingegneria, Università degli studi Roma TRE, Rome, Italy; Università degli Studi ""Niccolo Cusano"", Rome, Italy","2022 IEEE 9th International Workshop on Metrology for AeroSpace (MetroAeroSpace)","18 Aug 2022","2022","","","237","241","One of the greatest limitations of Synthetic Aperture Radar imagery is the capability to obtain an arbitrarily high spatial resolution. Indeed, despite optical sensors, this capability is not just limited by the sensor technology. Instead, improving the SAR spatial resolution requires large transmitted bandwidth and relatively long synthetic apertures that for regulatory and practical reasons are impossible to be met. This issue gets particularly relevant when dealing with Stripmap mode acquisitions and with relatively low carrier frequency sensors (where relatively large bandwidth signals are more difficult to be transmitted). To overcome this limitation, in this paper a deep learning based framework is proposed to enhance the SAR image spatial resolution while retaining the complex image accuracy. Results on simuated and real SAR data demonstrate the effectiveness of the proposed framework.","2575-7490","978-1-6654-1076-2","10.1109/MetroAeroSpace54187.2022.9856157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9856157","Expectation Maximization;Polarimetric Radar;Radar;Synthetic Aperture Radar","Deep learning;Superresolution;Bandwidth;Apertures;Radar polarimetry;Reliability;Spatial resolution","image resolution;learning (artificial intelligence);radar imaging;synthetic aperture radar","SAR spatial resolution;transmitted bandwidth;relatively long synthetic apertures;regulatory reasons;practical reasons;Stripmap mode acquisitions;relatively low carrier frequency sensors;relatively large bandwidth signals;deep learning based framework;SAR image spatial resolution;complex image accuracy;simuated SAR data;real SAR data;super-resolution;Synthetic Aperture Radar complex data;deep-learning;greatest limitations;Synthetic Aperture Radar imagery;arbitrarily high spatial resolution;optical sensors;sensor technology","","","","13","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"Optimal radar cross section estimation in synthetic aperture radar","V. K. Volosyuk; S. S. Zhyla","Aircraft Radio-Electronic Systems Design, Zhukovsky National Aerospace University “KhAI”, Kharkiv, Ukraine; Aircraft Radio-Electronic Systems Design, Zhukovsky National Aerospace University “KhAI”, Kharkiv, Ukraine","2017 IEEE First Ukraine Conference on Electrical and Computer Engineering (UKRCON)","9 Nov 2017","2017","","","189","193","Synthetic aperture radar (SAR) is a widely used technique suited for real-time and all-weather imaging of natural surfaces and artificial objects. To improve image resolution and increase accuracy of radar cross section estimation the problem of statistical synthesis of signal processing algorithm in SAR is solved. Proposed method allows to form images with super-resolution in azimuth and range. Synthesis is performed using modern theory of radio engineering systems statistical optimization.","","978-1-5090-3006-4","10.1109/UKRCON.2017.8100471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8100471","radar cross section;synthetic aperture radar;statistical optimization","Synthetic aperture radar;Radar cross-sections;Signal processing algorithms;Radar imaging;Scattering;Surface treatment","estimation theory;image resolution;radar cross-sections;radar imaging;synthetic aperture radar","statistical synthesis;signal processing algorithm;radio engineering systems statistical optimization;image resolution;natural surfaces;all-weather imaging;SAR;synthetic aperture radar;optimal radar cross section estimation","","2","","12","IEEE","9 Nov 2017","","","IEEE","IEEE Conferences"
"Recovery of Partially Corrupted SAR Images by Super-Resolution Based on Spectrum Extrapolation","F. Biondi","Facoltà di Ingegneria, Università Degli Studi Dell’Aquila, L’Aquila (AQ), Italy","IEEE Geoscience and Remote Sensing Letters","23 Jan 2017","2017","14","2","139","143","The problem of chirped synthetic aperture radar (SAR) systems is the high vulnerability of the received information to electromagnetic (EM) attacks. This letter proposes a valid recovery solution for SAR single-look complex images that are corrupted by noncoherent EM noise covering only the higher frequency spectrum. The solution consists of, first, exporting the spectrum damages that occur in the native data and, second, focusing only the survived spectrum information at lower resolution. The recovery of the original image is done by super-resolution signal processing based on spectrum extrapolation and implemented by convex programming.","1558-0571","","10.1109/LGRS.2016.2615564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7790855","Compressed sensing;jamming;spectrum extrapolation (SE);super-resolution (SR);synthetic aperture radar (SAR).","Synthetic aperture radar;Signal resolution;Jamming;Image resolution;Energy resolution;Radar imaging","convex programming;extrapolation;image resolution;radar imaging;radar resolution;synthetic aperture radar","partially corrupted SAR single-look complex imaging;synthetic aperture radar;electromagnetic attack;EM attack;noncoherent EM noise corruption;frequency spectrum extrapolation;superresolution signal processing;convex programming","","23","","8","Crown","19 Dec 2016","","","IEEE","IEEE Journals"
