"Authors","Author full names","Author(s) ID","Titles","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Cited by","Link","Abstract","Indexed Keywords","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Davidson S.J.; Santos M.J.; Sloan V.L.; Reuss-Schmidt K.; Phoenix G.K.; Oechel W.C.; Zona D.","Davidson, Scott J. (57189579964); Santos, Maria J. (55851941421); Sloan, Victoria L. (49864567400); Reuss-Schmidt, Kassandra (56507347700); Phoenix, Gareth K. (6602732085); Oechel, Walter C. (7005554424); Zona, Donatella (6505917916)","57189579964; 55851941421; 49864567400; 56507347700; 6602732085; 7005554424; 6505917916","Upscaling CH4 fluxes using high-resolution imagery in Arctic Tundra ecosystems","2017","Remote Sensing","9","12","1227","","","","10.3390/rs9121227","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038207073&doi=10.3390%2frs9121227&partnerID=40&md5=eb8010e7a6e490fbef7d1befba0b20fb","Arctic tundra ecosystems are a major source of methane (CH4), the variability of which is affected by local environmental and climatic factors, such as water table depth, microtopography, and the spatial heterogeneity of the vegetation communities present. There is a disconnect between the measurement scales for CH4 fluxes, which can be measured with chambers at one-meter resolution and eddy covariance towers at 100-1000 m, whereas model estimates are typically made at the ~100 km scale. Therefore, it is critical to upscale site level measurements to the larger scale for model comparison. As vegetation has a critical role in explaining the variability of CH4 fluxes across the tundra landscape, we tested whether remotely-sensed maps of vegetation could be used to upscale fluxes to larger scales. The objectives of this study are to compare four different methods for mapping and two methods for upscaling plot-level CH4 emissions to the measurements from EC towers. We show that linear discriminant analysis (LDA) provides the most accurate representation of the tundra vegetation within the EC tower footprints (classification accuracies of between 65% and 88%). The upscaled CH4 emissions using the areal fraction of the vegetation communities showed a positive correlation (between 0.57 and 0.81) with EC tower measurements, irrespective of the mapping method. The area-weighted footprint model outperformed the simple area-weighted method, achieving a correlation of 0.88 when using the vegetation map produced with the LDA classifier. These results suggest that the high spatial heterogeneity of the tundra vegetation has a strong impact on the flux, and variation indicates the potential impact of environmental or climatic parameters on the fluxes. Nonetheless, assimilating remotely-sensed vegetation maps of tundra in a footprint model was successful in upscaling fluxes across scales. © 2017 by the author.","Discriminant analysis; Ecology; Ecosystems; Groundwater; Landforms; Mapping; Methane; Remote sensing; Towers; Alaska; Arctic; Methane fluxes; Multi-spectral imagery; Tundra; Upscaling; Vegetation community; Vegetation","Alaska; Arctic; Footprint modelling; Methane flux; Multispectral imagery; Tundra; Upscaling; Vegetation communities","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85038207073"
"Zhang J.-Y.; Zhang J.; Ma Y.; Chen A.-N.; Cheng J.; Wan J.-X.","Zhang, Jing-Yu (57216517574); Zhang, Jie (55963073000); Ma, Yi (35220028600); Chen, An-Na (57217385937); Cheng, Jie (57217380327); Wan, Jia-Xin (57204245188)","57216517574; 55963073000; 35220028600; 57217385937; 57217380327; 57204245188","Satellite-derived bathymetry model in the arctic waters based on support vector regression","2019","Journal of Coastal Research","90","sp1","","294","301","7","10.2112/SI90-037.1","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087173223&doi=10.2112%2fSI90-037.1&partnerID=40&md5=1374c4c4e826ca3289c0e89a3c9409f7","Bathymetric data are essential for navigation and marine engineering. Satellite-derived bathymetry (SDB) is an effective supplement to the ship-based echo sounder, especially for bathymetric measurement in the area that is difficult to reach. Accurate SDB in the Arctic waters is more complex by weak light, cloud, mist, floating ice and so on than in middle or lower latitude clean waters. This paper performs SDB based on Support vector regression (SVR) from multi-spectral imagery of Sentinel-2 in shallow water (0-20 m) of Pomorskiy Proliv of Northern Russia, and corrects the estimated water depth with the interpolation of residuals. The results indicate that the highest accuracy of SDB based on SVR is achieved by employing radial basis function on the full feature inputs, with the mean absolute error (MAE) of 2.5 m and the mean relative error of 44.9 %. After the residual interpolation correction, the overall MAE reduces to 2.0 m, and the root mean square errors decrease by at least 0.3 m among different depth ranges. The approach provides technical support for obtaining a wide range and relatively high spatial resolution of bathymetric data in the Arctic region.  © Coastal Education and Research Foundation, Inc. 2019.","","Arctic; residual interpolation; Satellite-derived bathymetry; support vector regression","Article","Final","","Scopus","2-s2.0-85087173223"
"Heiselberg P.; Heiselberg H.","Heiselberg, Peder (57197781088); Heiselberg, Henning (7004279370)","57197781088; 7004279370","Ship-iceberg discrimination in Sentinel-2 multispectral imagery by supervised classification","2017","Remote Sensing","9","11","1156","","","","10.3390/rs9111156","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034742487&doi=10.3390%2frs9111156&partnerID=40&md5=d2cdcfed757ed25ba4ebf5dde1514a89","The European Space Agency Sentinel-2 satellites provide multispectral images with pixel sizes down to 10 m. This high resolution allows for fast and frequent detection, classification and discrimination of various objects in the sea, which is relevant in general and specifically for the vast Arctic environment. We analyze several sets of multispectral image data from Denmark and Greenland fall and winter, and describe a supervised search and classification algorithm based on physical parameters that successfully finds and classifies all objects in the sea with reflectance above a threshold. It discriminates between objects like ships, islands, wakes, and icebergs, ice floes, and clouds with accuracy better than 90%. Pan-sharpening the infrared bands leads to classification and discrimination of ice floes and clouds better than 95%. For complex images with abundant ice floes or clouds, however, the false alarm rate dominates for small non-sailing boats. © 2017 by the authors.","Classification (of information); Error detection; Ice; Image classification; Ships; Arctic; Discrimination; Iceberg; Multi-spectral; Sentinel-2; Sea ice","Arctic; Classification; Detection; Discrimination; Iceberg; Multispectral; Sentinel-2; Ship","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85034742487"
"Langford Z.L.; Kumar J.; Hoffman F.M.","Langford, Zachary L. (55318091300); Kumar, Jitendra (57202552799); Hoffman, Forrest M. (57214263501)","55318091300; 57202552799; 57214263501","Convolutional Neural Network Approach for Mapping Arctic Vegetation Using Multi-Sensor Remote Sensing Fusion","2017","IEEE International Conference on Data Mining Workshops, ICDMW","2017-November","","","322","331","9","10.1109/ICDMW.2017.48","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044039720&doi=10.1109%2fICDMW.2017.48&partnerID=40&md5=8289f71c7c28935423eeb69d228ab3f1","Accurate and high-resolution maps of vegetation are critical for projects seeking to understand the terrestrial ecosystem processes and land-atmosphere interactions in Arctic ecosystems, such as U.S. Department of Energy's Next Generation Ecosystem Experiment (NGEE) Arctic. However, most existing Arctic vegetation maps are at a coarse resolution and with a varying degree of detail and accuracy. Remote sensing-based approaches for mapping vegetation, while promising, are challenging in high latitude environments due to frequent cloud cover, polar darkness, and limited availability of high-resolution remote sensing datasets (e.g., ∼ 5 m). This study proposes a new remote sensing based multi-sensor data fusion approach for developing high-resolution maps of vegetation in the Seward Peninsula, Alaska. We focus detailed analysis and validation study around the Kougarok river, located in the central Seward Peninsula of Alaska. We seek to evaluate the integration of hyper-spectral, multi-spectral, radar, and terrain datasets using unsupervised and supervised classification techniques over a ∼343.72 km 2 area for generating vegetation classifications at a variety of resolutions (5 m and 12.5 m). We fist applied a quantitative goodness-of-fit method, called Mapcurves, that shows the degree of spatial concordance between the public coarse resolution maps and k-means clustering values and relabels the k values based on the best overlap. We develop a convolutional neural network (CNN) approach for developing high resolution vegetation maps for our study region in Arctic. We compare two CNN approaches: (1) breaking up the images into small patches (e.g., 6 x 6) and predict the vegetation class for entire patch and (2) semantic segmentation and predict the vegetation class for every pixel. We also perform accuracy assessments of the developed data products and evaluate varying CNN architectures. The fusion of hyperspectral and optical datasets performed the best, with accuracy values increased from 0.64 to 0.96-0.97 when using a training map produced by unsupervised clustering and Mapcurves labeling for both CNN models. © 2017 IEEE.","Classification (of information); Convolution; Data fusion; Data mining; Ecology; Ecosystems; Fusion reactions; Image segmentation; Mapping; Neural networks; Plants (botany); Semantics; Sensor data fusion; Vegetation; Convolutional neural network; Convolutional Neural Networks (CNN); High resolution remote sensing; Land atmosphere interaction; Multi sensor; Supervised classification; U.S. Department of Energy; Vegetation classification; Remote sensing","Fusion; Multi-Sensor; Remote Sensing; Vegetation Classificaiton","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85044039720"
"Asim M.; Brekke C.; Mahmood A.; Eltoft T.; Reigstad M.","Asim, Muhammad (57202431574); Brekke, Camilla (8986983600); Mahmood, Arif (55636036300); Eltoft, Torbjorn (35585249500); Reigstad, Marit (6603616730)","57202431574; 8986983600; 55636036300; 35585249500; 6603616730","Ocean Color Net (OCN) for the Barents Sea","2020","International Geoscience and Remote Sensing Symposium (IGARSS)","","","9323687","5881","5884","3","10.1109/IGARSS39084.2020.9323687","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102014381&doi=10.1109%2fIGARSS39084.2020.9323687&partnerID=40&md5=aa06781f81b6b73e1a9fa6cae8c97cf1","Over recent years, rapid environmental changes in the Arctic and subarctic regions have caused significant alterations in the ecosystem structure and seasonality, including the primary productivity of the Barents Sea. This work aims at improving methodology for studying these features, by estimating chlorophyll-a (chl-a) concentrations in the transitional Barents Sea by remotely sensing its optical properties, in order to better understand the large-scale algal bloom dynamics in the region. The in-situ measurements of chl-a are collected from the year 2016 to 2018 over a wide area of the Barents Sea to cover the spatial and temporal variations in chl-a concentration. Optical images of the Barents Sea are captured by the Multi-Spectral Imager Instrument on Sentinel-2. Using these remotely sensed optical images and the in-situ measurements, we propose a match-up dataset creation method based on the distribution of the remotely sensed reflectance spectra. Different Machine Learning (ML) techniques are assessed to estimate concentration of chl-a using the match-up dataset. Most of these techniques have not been investigated before in the subarctic region such as the Barents Sea. The Ocean Color Net (OCN) regression model proposed in this study has outperformed other ML-based techniques including Support Vector Regression, Gaussian Process Regression, and the globally trained Case-2 Regional/Coast Colour (C2RCC) processing chain model C2RCC-Nets, as well as empirical methods based on spectral band ratios. A wide range of experiments has demonstrated the effectiveness of the proposed OCN for ocean color remote sensing in the subarctic region. The performance of the OCN is also presented spatially by computing chl-a maps in the Barents Sea. © 2020 IEEE.","Color; Geology; Geometrical optics; Spectroscopy; Support vector regression; Ecosystem structure; Environmental change; Gaussian process regression; Multi spectral imager; Ocean color remote sensing; Primary productivity; Reflectance spectrum; Spatial and temporal variation; Remote sensing","Barents Sea; chl-a Monitoring; Ocean Color","Conference paper","Final","","Scopus","2-s2.0-85102014381"
"Reigber A.; Krogager E.; Keller M.; Jäger M.; Hajnsek I.; Horn R.","Reigber, Andreas (7003334243); Krogager, Ernst (6603452841); Keller, Martin (55576352500); Jäger, Marc (56693942100); Hajnsek, Irena (57204342098); Horn, Ralf (56210101500)","7003334243; 6603452841; 55576352500; 56693942100; 57204342098; 56210101500","The DALO-ARCTIC campaign: Multi-spectral SAR imaging of ice features in Greenland","2016","Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR","","","7559298","","","","","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001115467&partnerID=40&md5=d71892d1f2f3a6417e8bc39f5ce4b73a","In May 2015, the Danish Defence Acquisition and Logistics Organization (DALO) together with the German Aerospace Center (DLR) conducted the joint DALO-ARCTIC airborne SAR campaign with the F-SAR sensor over several testsites in Greenland. Principal goal of this campaign was to demonstrate the capabilities of SAR for security applications in arctic environments, as well as to investigate various advanced methods for extracting ice and snow parameters from SAR data. During this campaign, the ability of F-SAR to simultaneously record fully-polarimetric SAR data in several frequency bands was used for the first time on a large scale. Due to the significantly varying penetration depth of the different bands into ice and snow, it is of particular interest to understand and analyse what can be seen in each band and what are the dominating scattering processes. This paper will discuss this based on examples of polarimetric multi-band imaging of ice and snow layers from data acquired during the DALO-ARCTIC campaign. In this way, the huge potential of multi-spectral SAR imaging for the analysis of ice bodies will be demonstrated. © VDE VERLAG GMBH · Berlin · Offenbach.","Frequency bands; Ice; Polarimeters; Radar; Snow; Synthetic aperture radar; Airborne SAR; Arctic environments; Defence acquisitions; Fully polarimetric SAR; German aerospace centers; Multi-spectral; Scattering process; Security application; Radar imaging","","Conference paper","Final","","Scopus","2-s2.0-85001115467"
"Grohnfeldt C.H.","Grohnfeldt, Claas Hendrik (55946211600)","55946211600","Multi-sensor data fusion for multi- and Hyperspectral resolution enhancement based on sparse representations","2017","DLR Deutsches Zentrum fur Luft- und Raumfahrt e.V. - Forschungsberichte","2017-January","50","","1","201","200","","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037543692&partnerID=40&md5=23f79f8eb8341089e0439f766372a299","Our world is subject to intense observation. Offshore zones, arctic areas, deserts, rainforests, rivers, agricultural land and cities are continuously monitored from space. There is no surface on Earth that goes unobserved by a remote sensing satellite. This transparency facilitates our modern life, offering seemingly inexhaustible opportunities. Yet, there are limits. Physical, technological and financial factors limit the development of sensors of ever-increasing accuracy. Trade-offs must be made. Optical imaging sensors compromise on either detailed spectral information, allowing for the discrimination of materials, or high spatial resolution, which elucidates the geometry of the scene. Multi-sensor data fusion mitigates these limitations. The idea is to combine complementary data of different spectral and spatial characteristics to construct products representative of an ""ideal"" synthetic sensor. This is an inherently ill-posed problem. The difficulty arises in maximizing both spatial and spectral resolutions, due to the number of degrees of freedom. This dissertation presents sophisticated solutions to two of the most demanding multi-sensor data fusion problems in remote sensing, namely pan-sharpening and the fusion of hyperspectral and multispectral data. Two algorithms are thoroughly designed and tailored to the respective problems, i.e., Jointly Sparse Fusion of Images (J-SparseFI) for pan-sharpening and Jointly Sparse Fusion of Hyperspectral and Multispectral Imagery (J-SparseFI-HM) for the fusion of hyperspectral and multispectral data. These severely ill-posed problems are handled by incorporating additional information, to reduce the inherent degrees of freedom and produce fusion products that better approximate the ground truth. The physical properties of the synthesized sensor are accounted for by a sensor observation model. Prior knowledge about image patches featuring sparse representations of suitable dictionaries is exploited to reduce the overall fusion problem to a large number of small, I1/2-regularized convex optimization problems. Prior information about the mutual correlation of adjacent multi- and hyperspectral channels is extensively used to robustify estimation accuracies. Both techniques leverage distributed compressive sensing theory, restricting the solution of an underdetermined system by considering a jointly sparse ensemble of signals. The J-SparseFI and J-SparseFI-HM algorithms are specifically tailored to their respective fusion problems. In J-SparseFI, a decision-based spectral and channel mutual correlation analysis is conducted to find suitable groups of multispectral channels and corresponding high-resolution source data for dictionary learning. J-SparseFI-HM incorporates a spatially adaptive Correlation-based HyperSpectral Grouping (CorHySpeG) concept and the data for dictionary learning is found via non-negative least squares regression. A novel alternating local-non-local-global optimization procedure is designed for J-SparseFI-HM, which enhances spatial consistency across individually processed patches and spectral consistency across group-wise processed hyperspectral channels. Highly parallel stand-alone software solutions are optimized for operation on the SuperMUC supercomputer of the Leibniz Supercomputing Center. Detailed parameter descriptions, sensitivity analyses and default setting recommendations are provided. The quality of the data fusion products is assessed and compared to the state-of-the-art in pan-sharpening and hyperspectral-multispectral image fusion, for a large variety of test scenarios and sensor combinations. This thesis comprehensively demonstrates that J-SparseFI and J-SparseFI-HM are new quality benchmarks for multiresolution multi-sensor data fusion.","Adaptive optics; Arid regions; Benchmarking; Convex optimization; Data fusion; Data handling; Degrees of freedom (mechanics); Economic and social effects; Euler equations; Global optimization; Image fusion; Mechanics; Optimization; Remote sensing; Sensitivity analysis; Signal processing; Signal reconstruction; Space optics; Supercomputers; Convex optimization problems; Hyperspectral Data; Joint sparse signals; Multi-spectral image fusions; Multisensor data fusion; Number of degrees of freedom; Resolution enhancement; Spectral and spatial characteristics; Sensor data fusion","Hyperspectral data processing; Joint sparse signal recovery; Multi-sensor data fusion; Remote sensing; Resolution enhancement; Signal processing","Article","Final","","Scopus","2-s2.0-85037543692"
"Abdel-Moati H.; Morris J.; Zeng Y.; Corie M.W., II; Yanni V.G.","Abdel-Moati, Hazem (57195805601); Morris, Jonathan (56038957700); Zeng, Yousheng (15770415000); Corie, Martin Wesley (57195808491); Yanni, Victor Garas (57195803560)","57195805601; 56038957700; 15770415000; 57195808491; 57195803560","Near field ice detection using infrared based optical imaging technology","2018","Optics and Laser Technology","99","","","402","410","8","10.1016/j.optlastec.2017.09.029","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029856516&doi=10.1016%2fj.optlastec.2017.09.029&partnerID=40&md5=ff0aaba1e656382ebb9d7a0d1ccdcafb","If not detected and characterized, icebergs can potentially pose a hazard to oil and gas exploration, development and production operations in arctic environments as well as commercial shipping channels. In general, very large bergs are tracked and predicted using models or satellite imagery. Small and medium bergs are detectable using conventional marine radar. As icebergs decay they shed bergy bits and growlers, which are much smaller and more difficult to detect. Their low profile above the water surface, in addition to occasional relatively high seas, makes them invisible to conventional marine radar. Visual inspection is the most common method used to detect bergy bits and growlers, but the effectiveness of visual inspections is reduced by operator fatigue and low light conditions. The potential hazard from bergy bits and growlers is further increased by short detection range (<1 km). As such, there is a need for robust and autonomous near-field detection of such smaller icebergs. This paper presents a review of iceberg detection technology and explores applications for infrared imagers in the field. Preliminary experiments are performed and recommendations are made for future work, including a proposed imager design which would be suited for near field ice detection. © 2017 Elsevier Ltd","Hazards; Ice; Imaging techniques; Infrared imaging; Microlenses; Oil field development; Petroleum prospecting; Satellite imagery; Sea ice; Thermography (imaging); Ice detection; Low light conditions; Micro-lens arrays; Multispectral sensors; Oil and gas exploration; Optical imaging technology; Production operations; Sub-arctic; Marine radar","Ice detection; Infrared imaging; Micro-lens arrays; Multi-spectral sensors; Process safety in arctic and sub-arctic operations","Article","Final","","Scopus","2-s2.0-85029856516"
"Bartsch A.; Pointner G.; Nitze I.; Efimova A.; Jakober D.; Ley S.; Högström E.; Grosse G.; Schweitzer P.","Bartsch, Annett (8709691100); Pointner, Georg (57194632496); Nitze, Ingmar (56224472600); Efimova, Aleksandra (57351162000); Jakober, Dan (57350584400); Ley, Sarah (57219172566); Högström, Elin (56372298800); Grosse, Guido (7101977707); Schweitzer, Peter (7102806020)","8709691100; 57194632496; 56224472600; 57351162000; 57350584400; 57219172566; 56372298800; 7101977707; 7102806020","Expanding infrastructure and growing anthropogenic impacts along Arctic coasts","2021","Environmental Research Letters","16","11","115013","","","","10.1088/1748-9326/ac3176","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119686313&doi=10.1088%2f1748-9326%2fac3176&partnerID=40&md5=9574d2dc91df81b720a70044f074ad49","The accelerating climatic changes and new infrastructure development across the Arctic require more robust risk and environmental assessment, but thus far there is no consistent record of human impact. We provide a first panarctic satellite-based record of expanding infrastructure and anthropogenic impacts along all permafrost affected coasts (100 km buffer, ≈6.2 Mio km2), named the Sentinel-1/2 derived Arctic Coastal Human Impact (SACHI) dataset. The completeness and thematic content goes beyond traditional satellite based approaches as well as other publicly accessible data sources. Three classes are considered: linear transport infrastructure (roads and railways), buildings, and other impacted area. C-band synthetic aperture radar and multi-spectral information (2016-2020) is exploited within a machine learning framework (gradient boosting machines and deep learning) and combined for retrieval with 10 m nominal resolution. In total, an area of 1243 km2 constitutes human-built infrastructure as of 2016-2020. Depending on region, SACHI contains 8%-48% more information (human presence) than in OpenStreetMap. 221 (78%) more settlements are identified than in a recently published dataset for this region. 47% is not covered in a global night-time light dataset from 2016. At least 15% (180 km2) correspond to new or increased detectable human impact since 2000 according to a Landsat-based normalized difference vegetation index trend comparison within the analysis extent. Most of the expanded presence occurred in Russia, but also some in Canada and US. 31% and 5% of impacted area associated predominantly with oil/gas and mining industry respectively has appeared after 2000. 55% of the identified human impacted area will be shifting to above 0 °C ground temperature at two meter depth by 2050 if current permafrost warming trends continue at the pace of the last two decades, highlighting the critical importance to better understand how much and where Arctic infrastructure may become threatened by permafrost thaw.  © 2021 The Author(s).","Arctic; Adaptive boosting; Deep learning; Permafrost; Risk assessment; Synthetic aperture radar; Anthropogenic impacts; Arctic; Climatic changes; Human impact; Infrastructure; New infrastructure development; Remote-sensing; Sentinel; Sentinel-1; Settlement; anthropogenic effect; climate change; data set; infrastructure; permafrost; Remote sensing","Arctic; Infrastructure; Machine learning; Permafrost; Remote sensing; Sentinel; Settlements","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85119686313"
"Te Hennepe F.; Bewick C.; Gulde S.; Peacocke P.T.","Te Hennepe, Frank (36118293900); Bewick, Charlotte (56082767000); Gulde, Stephan (6602795607); Peacocke, Patrick Tully (56646621100)","36118293900; 56082767000; 6602795607; 56646621100","Weather and climate monitoring in the arctic regions","2017","Proceedings of the International Astronautical Congress, IAC","7","","","4407","4416","9","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051422500&partnerID=40&md5=f9e389106e7377385b742dcd63d54568","In recent years, the interest in the Arctic regions by various stakeholders has steadily increased with the use of economic, political, military and scientific arguments. Availability of additional shipping routes, the presence of productive fishing grounds and innovative means for resource extraction have resulted in an increased human presence in the high Northern latitudes. Furthermore, the polar regions, and the Arctic in particular, are the fastest changing regions affected by climate change and play a leading role in the modelling of weather and climate change on global level. In spite of its important role, the Arctic and Nordic regions only receives limited satellite-based services. This can be partially explained by the challenging geometry experienced by typical GEO satellite missions, resulting in poor performance in the telecommunications, weather monitoring and navigation domains. This is a well-known problem for the Arctic and Nordic regions, which various spacefaring nations are looking to address. As part of its Arctic initiative, the European Space Agency (ESA) is currently considering potential synergetic missions aiming at providing telecommunications, navigation and weather monitoring services to the Arctic regions. One specific concept under investigation consists of a small two-spacecraft constellation, using a High Elliptical Orbit (HEO) at 63.4° inclination with a 16 hour orbital period as an effective method of providing around-the-clock coverage of the polar regions. For the weather and atmosphere monitoring part of the mission, a so-called Hosted Arctic Imager (HAI) concept is currently being investigated as part of ESA’s Polaris programme. HAI intends to fulfil the needs for providing weather and atmospheric services in the polar regions. These services consist of near-real-time observations of Atmospheric Motion Vectors of the Arctic and Nordic regions, similar to the measurements its Meteosat counterparts in GEO offer, such as SEVIRI on MSG and FCI on MTG, and several other data products derived from these missions for atmospheric monitoring. A number of studies have been performed under ESA contract investigating the feasibility, implementation scenarios and performance of the HAI. In this paper, the overall HAI concept as proposed by OHB System will be reported. For this purpose, an analysis of the mission needs and observational requirements and conditions for the HAI will be shown followed by a presentation of the identified challenges, candidate solutions and engineering results for the mission analysis and high-level instrument design. This discussion will be complemented with an outlook on the programmatics for the HAI resulting in a promising concept for weather and atmospheric observations in the Arctic regions. © 2018 International Astronautical Federation IAF. All rights reserved.","Meteorology; Monitoring; Orbits; Space flight; Spectroscopy; Arctic regions; Atmospheric monitoring; Atmospheric motion vectors; Atmospheric observations; Mission concepts; Multi spectral imager; Satellite-based services; Spacecraft constellations; Climate change","Arctic region; Atmospheric monitoring; Meteorology; Mission concept; Multi-spectral imager","Conference paper","Final","","Scopus","2-s2.0-85051422500"
