AID,Year,Title,Abstract,Authors,Link,DOI
http://arxiv.org/abs/2002.11248v1,2020,"Super-Resolving Commercial Satellite Imagery Using Realistic Training
  Data","  In machine learning based single image super-resolution, the degradation
model is embedded in training data generation. However, most existing satellite
image super-resolution methods use a simple down-sampling model with a fixed
kernel to create training images. These methods work fine on synthetic data,
but do not perform well on real satellite images. We propose a realistic
training data generation model for commercial satellite imagery products, which
includes not only the imaging process on satellites but also the post-process
on the ground. We also propose a convolutional neural network optimized for
satellite images. Experiments show that the proposed training data generation
model is able to improve super-resolution performance on real satellite images.
",Xiang Zhu; Hossein Talebi; Xinwei Shi; Feng Yang; Peyman Milanfar,http://arxiv.org/abs/2002.11248v1,10.48550/arXiv.2002.11248
http://arxiv.org/abs/2011.14380v1,2020,"Single Image Super-resolution with a Switch Guided Hybrid Network for
  Satellite Images","  The major drawbacks with Satellite Images are low resolution, Low resolution
makes it difficult to identify the objects present in Satellite images. We have
experimented with several deep models available for Single Image
Superresolution on the SpaceNet dataset and have evaluated the performance of
each of them on the satellite image data. We will dive into the recent
evolution of the deep models in the context of SISR over the past few years and
will present a comparative study between these models. The entire Satellite
image of an area is divided into equal-sized patches. Each patch will be used
independently for training. These patches will differ in nature. Say, for
example, the patches over urban areas have non-homogeneous backgrounds because
of different types of objects like vehicles, buildings, roads, etc. On the
other hand, patches over jungles will be more homogeneous in nature. Hence,
different deep models will fit on different kinds of patches. In this study, we
will try to explore this further with the help of a Switching Convolution
Network. The idea is to train a switch classifier that will automatically
classify a patch into one category of models best suited for it.
",Shreya Roy; Anirban Chakraborty,http://arxiv.org/abs/2011.14380v1,10.48550/arXiv.2011.14380
http://arxiv.org/abs/2008.00878v1,2020,"Fusion of Deep and Non-Deep Methods for Fast Super-Resolution of
  Satellite Images","  In the emerging commercial space industry there is a drastic increase in
access to low cost satellite imagery. The price for satellite images depends on
the sensor quality and revisit rate. This work proposes to bridge the gap
between image quality and the price by improving the image quality via
super-resolution (SR). Recently, a number of deep SR techniques have been
proposed to enhance satellite images. However, none of these methods utilize
the region-level context information, giving equal importance to each region in
the image. This, along with the fact that most state-of-the-art SR methods are
complex and cumbersome deep models, the time taken to process very large
satellite images can be impractically high. We, propose to handle this
challenge by designing an SR framework that analyzes the regional information
content on each patch of the low-resolution image and judiciously chooses to
use more computationally complex deep models to super-resolve more
structure-rich regions on the image, while using less resource-intensive
non-deep methods on non-salient regions. Through extensive experiments on a
large satellite image, we show substantial decrease in inference time while
achieving similar performance to that of existing deep SR methods over several
evaluation measures like PSNR, MSE and SSIM.
",Gaurav Kumar Nayak; Saksham Jain; R Venkatesh Babu; Anirban Chakraborty,http://arxiv.org/abs/2008.00878v1,10.48550/arXiv.2008.00878
http://arxiv.org/abs/1812.04098v3,2018,"The Effects of Super-Resolution on Object Detection Performance in
  Satellite Imagery","  We explore the application of super-resolution techniques to satellite
imagery, and the effects of these techniques on object detection algorithm
performance. Specifically, we enhance satellite imagery beyond its native
resolution, and test if we can identify various types of vehicles, planes, and
boats with greater accuracy than native resolution. Using the Very Deep
Super-Resolution (VDSR) framework and a custom Random Forest Super-Resolution
(RFSR) framework we generate enhancement levels of 2x, 4x, and 8x over five
distinct resolutions ranging from 30 cm to 4.8 meters. Using both native and
super-resolved data, we then train several custom detection models using the
SIMRDWN object detection framework. SIMRDWN combines a number of popular object
detection algorithms (e.g. SSD, YOLO) into a unified framework that is designed
to rapidly detect objects in large satellite images. This approach allows us to
quantify the effects of super-resolution techniques on object detection
performance across multiple classes and resolutions. We also quantify the
performance of object detection as a function of native resolution and object
pixel size. For our test set we note that performance degrades from mean
average precision (mAP) = 0.53 at 30 cm resolution, down to mAP = 0.11 at 4.8 m
resolution. Super-resolving native 30 cm imagery to 15 cm yields the greatest
benefit; a 13-36% improvement in mAP. Super-resolution is less beneficial at
coarser resolutions, though still provides a small improvement in performance.
",Jacob Shermeyer; Adam Van Etten,http://arxiv.org/abs/1812.04098v3,10.48550/arXiv.1812.04098
http://arxiv.org/abs/2002.00580v2,2020,"Super-resolution of multispectral satellite images using convolutional
  neural networks","  Super-resolution aims at increasing image resolution by algorithmic means and
has progressed over the recent years due to advances in the fields of computer
vision and deep learning. Convolutional Neural Networks based on a variety of
architectures have been applied to the problem, e.g. autoencoders and residual
networks. While most research focuses on the processing of photographs
consisting only of RGB color channels, little work can be found concentrating
on multi-band, analytic satellite imagery. Satellite images often include a
panchromatic band, which has higher spatial resolution but lower spectral
resolution than the other bands. In the field of remote sensing, there is a
long tradition of applying pan-sharpening to satellite images, i.e. bringing
the multispectral bands to the higher spatial resolution by merging them with
the panchromatic band. To our knowledge there are so far no approaches to
super-resolution which take advantage of the panchromatic band. In this paper
we propose a method to train state-of-the-art CNNs using pairs of
lower-resolution multispectral and high-resolution pan-sharpened image tiles in
order to create super-resolved analytic images. The derived quality metrics
show that the method improves information content of the processed images. We
compare the results created by four CNN architectures, with RedNet30 performing
best.
",M. U. Müller; N. Ekhtiari; R. M. Almeida; C. Rieke,http://arxiv.org/abs/2002.00580v2,10.5194/isprs-annals-V-1-2020-33-2020
http://arxiv.org/abs/2004.03879v1,2020,Monte-Carlo Siamese Policy on Actor for Satellite Image Super Resolution,"  In the past few years supervised and adversarial learning have been widely
adopted in various complex computer vision tasks. It seems natural to wonder
whether another branch of artificial intelligence, commonly known as
Reinforcement Learning (RL) can benefit such complex vision tasks. In this
study, we explore the plausible usage of RL in super resolution of remote
sensing imagery. Guided by recent advances in super resolution, we propose a
theoretical framework that leverages the benefits of supervised and
reinforcement learning. We argue that a straightforward implementation of RL is
not adequate to address ill-posed super resolution as the action variables are
not fully known. To tackle this issue, we propose to parameterize action
variables by matrices, and train our policy network using Monte-Carlo sampling.
We study the implications of parametric action space in a model-free
environment from theoretical and empirical perspective. Furthermore, we analyze
the quantitative and qualitative results on both remote sensing and non-remote
sensing datasets. Based on our experiments, we report considerable improvement
over state-of-the-art methods by encapsulating supervised models in a
reinforcement learning framework.
",Litu Rout; Saumyaa Shah; S Manthira Moorthi; Debajyoti Dhar,http://arxiv.org/abs/2004.03879v1,10.48550/arXiv.2004.03879
http://arxiv.org/abs/1906.06697v1,2019,On training deep networks for satellite image super-resolution,"  The capabilities of super-resolution reconstruction (SRR)---techniques for
enhancing image spatial resolution---have been recently improved significantly
by the use of deep convolutional neural networks. Commonly, such networks are
learned using huge training sets composed of original images alongside their
low-resolution counterparts, obtained with bicubic downsampling. In this paper,
we investigate how the SRR performance is influenced by the way such
low-resolution training data are obtained, which has not been explored up to
date. Our extensive experimental study indicates that the training data
characteristics have a large impact on the reconstruction accuracy, and the
widely-adopted approach is not the most effective for dealing with satellite
images. Overall, we argue that developing better training data preparation
routines may be pivotal in making SRR suitable for real-world applications.
",Michal Kawulok; Szymon Piechaczek; Krzysztof Hrynczenko; Pawel Benecki; Daniel Kostrzewa; Jakub Nalepa,http://arxiv.org/abs/1906.06697v1,10.48550/arXiv.1906.06697
http://arxiv.org/abs/2202.13124v3,2022,"Multi-image Super-resolution via Quality Map Associated Attention
  Network","  Multi-image super-resolution, which aims to fuse and restore a
high-resolution image from multiple images at the same location, is crucial for
utilizing satellite images. The satellite images are often occluded by
atmospheric disturbances such as clouds, and the position of the disturbances
varies by the images. Many radiometric and geometric approaches are proposed to
detect atmospheric disturbances. Still, the utilization of detection results,
i.e., quality maps in deep learning was limited to pre-processing or
computation of loss. In this paper, we present a quality map-associated
attention network (QA-Net), an architecture that fully incorporates QMs into a
deep learning scheme for the first time. Our proposed attention modules process
QMs alongside the low-resolution images and utilize the QM features to
distinguish the disturbances and attend to image features. As a result, QA-Net
has achieved state-of-the-art results in the PROBA-V dataset.
",Minji Lee,http://arxiv.org/abs/2202.13124v3,10.48550/arXiv.2202.13124
http://arxiv.org/abs/1503.03630v1,2015,Single image super-resolution by approximated Heaviside functions,"  Image super-resolution is a process to enhance image resolution. It is widely
used in medical imaging, satellite imaging, target recognition, etc. In this
paper, we conduct continuous modeling and assume that the unknown image
intensity function is defined on a continuous domain and belongs to a space
with a redundant basis. We propose a new iterative model for single image
super-resolution based on an observation: an image is consisted of smooth
components and non-smooth components, and we use two classes of approximated
Heaviside functions (AHFs) to represent them respectively. Due to sparsity of
the non-smooth components, a $L_{1}$ model is employed. In addition, we apply
the proposed iterative model to image patches to reduce computation and
storage. Comparisons with some existing competitive methods show the
effectiveness of the proposed method.
",Liang-Jian Deng; Weihong Guo; Ting-Zhu Huang,http://arxiv.org/abs/1503.03630v1,10.48550/arXiv.1503.03630
http://arxiv.org/abs/2207.02301v1,2022,"Effectivity of super resolution convolutional neural network for the
  enhancement of land cover classification from medium resolution satellite
  images","  In the modern world, satellite images play a key role in forest management
and degradation monitoring. For a precise quantification of forest land cover
changes, the availability of spatially fine resolution data is a necessity.
Since 1972, NASAs LANDSAT Satellites are providing terrestrial images covering
every corner of the earth, which have been proved to be a highly useful
resource for terrestrial change analysis and have been used in numerous other
sectors. However, freely accessible satellite images are, generally, of medium
to low resolution which is a major hindrance to the precision of the analysis.
Hence, we performed a comprehensive study to prove our point that, enhancement
of resolution by Super-Resolution Convolutional Neural Network (SRCNN) will
lessen the chance of misclassification of pixels, even under the established
recognition methods. We tested the method on original LANDSAT-7 images of
different regions of Sundarbans and their upscaled versions which were produced
by bilinear interpolation, bicubic interpolation, and SRCNN respectively and it
was discovered that SRCNN outperforms the others by a significant amount.
",Pritom Bose; Debolina Halder; Oliur Rahman; Turash Haque Pial,http://arxiv.org/abs/2207.02301v1,10.48550/arXiv.2207.02301
