AID,Year,Title,Abstract,Authors,DOI,Link
http://arxiv.org/abs/2205.04056v2,2022,"Exploiting Digital Surface Models for Inferring Super-Resolution for
  Remotely Sensed Images","  Despite the plethora of successful Super-Resolution Reconstruction (SRR)
models applied to natural images, their application to remote sensing imagery
tends to produce poor results. Remote sensing imagery is often more complicated
than natural images and has its peculiarities such as being of lower
resolution, it contains noise, and often depicting large textured surfaces. As
a result, applying non-specialized SRR models on remote sensing imagery results
in artifacts and poor reconstructions. To address these problems, this paper
proposes an architecture inspired by previous research work, introducing a
novel approach for forcing an SRR model to output realistic remote sensing
images: instead of relying on feature-space similarities as a perceptual loss,
the model considers pixel-level information inferred from the normalized
Digital Surface Model (nDSM) of the image. This strategy allows the application
of better-informed updates during the training of the model which sources from
a task (elevation map inference) that is closely related to remote sensing.
Nonetheless, the nDSM auxiliary information is not required during production
and thus the model infers a super-resolution image without any additional data
besides its low-resolution pairs. We assess our model on two remotely sensed
datasets of different spatial resolutions that also contain the DSM pairs of
the images: the DFC2018 dataset and the dataset containing the national Lidar
fly-by of Luxembourg. Based on visual inspection, the inferred super-resolution
images exhibit particularly superior quality. In particular, the results for
the high-resolution DFC2018 dataset are realistic and almost indistinguishable
from the ground truth images.
",Savvas Karatsiolis; Chirag Padubidri; Andreas Kamilaris,10.1109/TGRS.2022.3209340,http://arxiv.org/abs/2205.04056v2
http://arxiv.org/abs/2004.03879v1,2020,Monte-Carlo Siamese Policy on Actor for Satellite Image Super Resolution,"  In the past few years supervised and adversarial learning have been widely
adopted in various complex computer vision tasks. It seems natural to wonder
whether another branch of artificial intelligence, commonly known as
Reinforcement Learning (RL) can benefit such complex vision tasks. In this
study, we explore the plausible usage of RL in super resolution of remote
sensing imagery. Guided by recent advances in super resolution, we propose a
theoretical framework that leverages the benefits of supervised and
reinforcement learning. We argue that a straightforward implementation of RL is
not adequate to address ill-posed super resolution as the action variables are
not fully known. To tackle this issue, we propose to parameterize action
variables by matrices, and train our policy network using Monte-Carlo sampling.
We study the implications of parametric action space in a model-free
environment from theoretical and empirical perspective. Furthermore, we analyze
the quantitative and qualitative results on both remote sensing and non-remote
sensing datasets. Based on our experiments, we report considerable improvement
over state-of-the-art methods by encapsulating supervised models in a
reinforcement learning framework.
",Litu Rout; Saumyaa Shah; S Manthira Moorthi; Debajyoti Dhar,10.48550/arXiv.2004.03879,http://arxiv.org/abs/2004.03879v1
http://arxiv.org/abs/2103.12547v1,2021,A new public Alsat-2B dataset for single-image super-resolution,"  Currently, when reliable training datasets are available, deep learning
methods dominate the proposed solutions for image super-resolution. However,
for remote sensing benchmarks, it is very expensive to obtain high spatial
resolution images. Most of the super-resolution methods use down-sampling
techniques to simulate low and high spatial resolution pairs and construct the
training samples. To solve this issue, the paper introduces a novel public
remote sensing dataset (Alsat2B) of low and high spatial resolution images (10m
and 2.5m respectively) for the single-image super-resolution task. The
high-resolution images are obtained through pan-sharpening. Besides, the
performance of some super-resolution methods on the dataset is assessed based
on common criteria. The obtained results reveal that the proposed scheme is
promising and highlight the challenges in the dataset which shows the need for
advanced methods to grasp the relationship between the low and high-resolution
patches.
",Achraf Djerida; Khelifa Djerriri; Moussa Sofiane Karoui; Mohammed El Amin larabi,10.48550/arXiv.2103.12547,http://arxiv.org/abs/2103.12547v1
http://arxiv.org/abs/2007.03107v2,2020,"Multi-image Super Resolution of Remotely Sensed Images using Residual
  Feature Attention Deep Neural Networks","  Convolutional Neural Networks (CNNs) have been consistently proved
state-of-the-art results in image Super-Resolution (SR), representing an
exceptional opportunity for the remote sensing field to extract further
information and knowledge from captured data. However, most of the works
published in the literature have been focusing on the Single-Image
Super-Resolution problem so far. At present, satellite based remote sensing
platforms offer huge data availability with high temporal resolution and low
spatial resolution. In this context, the presented research proposes a novel
residual attention model (RAMS) that efficiently tackles the multi-image
super-resolution task, simultaneously exploiting spatial and temporal
correlations to combine multiple images. We introduce the mechanism of visual
feature attention with 3D convolutions in order to obtain an aware data fusion
and information extraction of the multiple low-resolution images, transcending
limitations of the local region of convolutional operations. Moreover, having
multiple inputs with the same scene, our representation learning network makes
extensive use of nestled residual connections to let flow redundant
low-frequency signals and focus the computation on more important
high-frequency components. Extensive experimentation and evaluations against
other available solutions, either for single or multi-image super-resolution,
have demonstrated that the proposed deep learning-based solution can be
considered state-of-the-art for Multi-Image Super-Resolution for remote sensing
applications.
",Francesco Salvetti; Vittorio Mazzia; Aleem Khaliq; Marcello Chiaberge,10.3390/rs12142207,http://arxiv.org/abs/2007.03107v2
http://arxiv.org/abs/2010.00472v1,2020,"High Quality Remote Sensing Image Super-Resolution Using Deep Memory
  Connected Network","  Single image super-resolution is an effective way to enhance the spatial
resolution of remote sensing image, which is crucial for many applications such
as target detection and image classification. However, existing methods based
on the neural network usually have small receptive fields and ignore the image
detail. We propose a novel method named deep memory connected network (DMCN)
based on a convolutional neural network to reconstruct high-quality
super-resolution images. We build local and global memory connections to
combine image detail with environmental information. To further reduce
parameters and ease time-consuming, we propose downsampling units, shrinking
the spatial size of feature maps. We test DMCN on three remote sensing datasets
with different spatial resolution. Experimental results indicate that our
method yields promising improvements in both accuracy and visual performance
over the current state-of-the-art.
",Wenjia Xu; Guangluan Xu; Yang Wang; Xian Sun; Daoyu Lin; Yirong Wu,10.1109/IGARSS.2018.8518855,http://arxiv.org/abs/2010.00472v1
http://arxiv.org/abs/2111.03231v1,2021,"Multi-Spectral Multi-Image Super-Resolution of Sentinel-2 with
  Radiometric Consistency Losses and Its Effect on Building Delineation","  High resolution remote sensing imagery is used in broad range of tasks,
including detection and classification of objects. High-resolution imagery is
however expensive, while lower resolution imagery is often freely available and
can be used by the public for range of social good applications. To that end,
we curate a multi-spectral multi-image super-resolution dataset, using
PlanetScope imagery from the SpaceNet 7 challenge as the high resolution
reference and multiple Sentinel-2 revisits of the same imagery as the
low-resolution imagery. We present the first results of applying multi-image
super-resolution (MISR) to multi-spectral remote sensing imagery. We,
additionally, introduce a radiometric consistency module into MISR model the to
preserve the high radiometric resolution of the Sentinel-2 sensor. We show that
MISR is superior to single-image super-resolution and other baselines on a
range of image fidelity metrics. Furthermore, we conduct the first assessment
of the utility of multi-image super-resolution on building delineation, showing
that utilising multiple images results in better performance in these
downstream tasks.
",Muhammed Razzak; Gonzalo Mateo-Garcia; Luis Gómez-Chova; Yarin Gal; Freddie Kalaitzis,10.48550/arXiv.2111.03231,http://arxiv.org/abs/2111.03231v1
http://arxiv.org/abs/1812.05329v2,2018,"Wider Channel Attention Network for Remote Sensing Image
  Super-resolution","  Recently, deep convolutional neural networks (CNNs) have obtained promising
results in image processing tasks including super-resolution (SR). However,
most CNN-based SR methods treat low-resolution (LR) inputs and features equally
across channels, rarely notice the loss of information flow caused by the
activation function and fail to leverage the representation ability of CNNs. In
this letter, we propose a novel single-image super-resolution (SISR) algorithm
named Wider Channel Attention Network (WCAN) for remote sensing images.
Firstly, the channel attention mechanism is used to adaptively recalibrate the
importance of each channel at the middle of the wider attention block (WAB).
Secondly, we propose the Local Memory Connection (LMC) to enhance the
information flow. Finally, the features within each WAB are fused to take
advantage of the network's representation capability and further improve
information and gradient flow. Analytic experiments on a public remote sensing
data set (UC Merced) show that our WCAN achieves better accuracy and visual
improvements against most state-of-the-art methods.
",Jun Gu; Guangluan Xu; Yue Zhang; Xian Sun; Ran Wen; Lei Wang,10.48550/arXiv.1812.05329,http://arxiv.org/abs/1812.05329v2
http://arxiv.org/abs/1704.02162v2,2017,"Locally-adapted convolution-based super-resolution of
  irregularly-sampled ocean remote sensing data","  Super-resolution is a classical problem in image processing, with numerous
applications to remote sensing image enhancement. Here, we address the
super-resolution of irregularly-sampled remote sensing images. Using an optimal
interpolation as the low-resolution reconstruction, we explore locally-adapted
multimodal convolutional models and investigate different dictionary-based
decompositions, namely based on principal component analysis (PCA), sparse
priors and non-negativity constraints. We consider an application to the
reconstruction of sea surface height (SSH) fields from two information sources,
along-track altimeter data and sea surface temperature (SST) data. The reported
experiments demonstrate the relevance of the proposed model, especially
locally-adapted parametrizations with non-negativity constraints, to outperform
optimally-interpolated reconstructions.
",Manuel López-Radcenco; Ronan Fablet; Abdeldjalil Aïssa-El-Bey; Pierre Ailliot,10.48550/arXiv.1704.02162,http://arxiv.org/abs/1704.02162v2
http://arxiv.org/abs/1907.10213v1,2019,"Image Super-Resolution Using a Wavelet-based Generative Adversarial
  Network","  In this paper, we consider the problem of super-resolution recons-truction.
This is a hot topic because super-resolution reconstruction has a wide range of
applications in the medical field, remote sensing monitoring, and criminal
investigation. Compared with traditional algorithms, the current
super-resolution reconstruction algorithm based on deep learning greatly
improves the clarity of reconstructed pictures. Existing work like
Super-Resolution Using a Generative Adversarial Network (SRGAN) can effectively
restore the texture details of the image. However, experimentally verified that
the texture details of the image recovered by the SRGAN are not robust. In
order to get super-resolution reconstructed images with richer high-frequency
details, we improve the network structure and propose a super-resolution
reconstruction algorithm combining wavelet transform and Generative Adversarial
Network. The proposed algorithm can efficiently reconstruct high-resolution
images with rich global information and local texture details. We have trained
our model by PyTorch framework and VOC2012 dataset, and tested it by Set5,
Set14, BSD100 and Urban100 test datasets.
",Qi Zhang; Huafeng Wang; Sichen Yang,10.48550/arXiv.1907.10213,http://arxiv.org/abs/1907.10213v1
http://arxiv.org/abs/2111.03260v1,2021,"Remote Sensing Image Super-resolution and Object Detection: Benchmark
  and State of the Art","  For the past two decades, there have been significant efforts to develop
methods for object detection in Remote Sensing (RS) images. In most cases, the
datasets for small object detection in remote sensing images are inadequate.
Many researchers used scene classification datasets for object detection, which
has its limitations; for example, the large-sized objects outnumber the small
objects in object categories. Thus, they lack diversity; this further affects
the detection performance of small object detectors in RS images. This paper
reviews current datasets and object detection methods (deep learning-based) for
remote sensing images. We also propose a large-scale, publicly available
benchmark Remote Sensing Super-resolution Object Detection (RSSOD) dataset. The
RSSOD dataset consists of 1,759 hand-annotated images with 22,091 instances of
very high resolution (VHR) images with a spatial resolution of ~0.05 m. There
are five classes with varying frequencies of labels per class. The image
patches are extracted from satellite images, including real image distortions
such as tangential scale distortion and skew distortion. We also propose a
novel Multi-class Cyclic super-resolution Generative adversarial network with
Residual feature aggregation (MCGR) and auxiliary YOLOv5 detector to benchmark
image super-resolution-based object detection and compare with the existing
state-of-the-art methods based on image super-resolution (SR). The proposed
MCGR achieved state-of-the-art performance for image SR with an improvement of
1.2dB PSNR compared to the current state-of-the-art NLSN method. MCGR achieved
best object detection mAPs of 0.758, 0.881, 0.841, and 0.983, respectively, for
five-class, four-class, two-class, and single classes, respectively surpassing
the performance of the state-of-the-art object detectors YOLOv5, EfficientDet,
Faster RCNN, SSD, and RetinaNet.
",Yi Wang; Syed Muhammad Arsalan Bashir; Mahrukh Khan; Qudrat Ullah; Rui Wang; Yilin Song; Zhe Guo; Yilong Niu,10.1016/j.eswa.2022.116793,http://arxiv.org/abs/2111.03260v1
